request_key,cache_file_path,cache_status,cache_sha256,cache_bytes,cache_error,cache_attrs_json,product_status,units_basis,units_response_metadata_available
50.8_-0.0_2023-03-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-03-14.pkl,readable,fcee7139c216ee2fa0202f1043f253a5c486f715589406241670eb0e26566c28,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-03-24,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-03-24.pkl,readable,c6c17072c3906d46cd8fc13d4a84e2b5b6b6e1f259211752d3ed39e4befedd1c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-03-27,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-03-27.pkl,readable,71f5fbec9a1f335afef8387af1d59aab2eef7d050ccc53bb1f3b8d90a363c62e,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-03-30,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-03-30.pkl,readable,93ec9a19f85cceba2f7d912eb4c311d6567e1c9a4b188d48ce1b39314bd6c55a,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-04-19,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-04-19.pkl,readable,5a14b17f276a379c92cb1902d6006336f07eb32b5931a28658bc206c230010d3,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-05-30,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-05-30.pkl,readable,c5af30108dd2702d6df4b2c13f6947f21d9bc459ad9307ec432ef3dbd7e6a5b4,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-06-07,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-06-07.pkl,readable,4b6080ebf4bb42adf7484eaabb47cc9f2e4fa3919762378a2a17ccf2ba313c78,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-07-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-07-14.pkl,readable,f5bacf9c44a467b68db948c33357f0060b5c927e1e5a5f7fabf0ed5849f24b29,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-07-25,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-07-25.pkl,readable,fc6f365a2f74e36f1f03b6c24c5491cdb3b3612e31a7fdb5710104a60eff38f0,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-07-27,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-07-27.pkl,readable,4b93fbf6a044cab85f5100323b6aa9be061fa477a946b0355f25aa37e995ca37,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-07-28,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-07-28.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
