LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E09000012,2021-04-01,12.8,0.0420464300188484,4,75.0,-1.0,12.47538960696398,1.0,0.196,2021,4,1,0,1,0,0,0,0,0,24,51.5,0.0,10.1520230907582
E09000013,2021-04-01,13.2,0.0377483516252792,0,-1.0,-1.0,12.11893398771341,1.0,0.142,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.217173294343452
E09000014,2021-04-01,12.8,0.0475822724918696,0,-1.0,-1.0,12.481284790609685,1.0,0.17,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.147489773330037
E09000015,2021-04-01,13.2,0.0521733754083376,2,39.0,-1.0,12.472884696222938,1.0,0.109,2021,4,1,0,1,0,0,0,0,0,24,51.5,-0.25,10.232697018950743
E09000016,2021-04-01,13.4,0.0423851022725603,0,-1.0,-1.0,12.476427973157676,1.0,0.108,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.25,10.067260343182314
E09000017,2021-04-01,13.1,0.0496464071079597,0,-1.0,-1.0,12.628417813738848,1.0,0.114,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.5,10.251698017933798
E09000019,2021-04-01,12.8,0.0427561238352375,0,-1.0,-1.0,12.28788302072774,1.0,0.179,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.162922911812464
E09000020,2021-04-01,13.2,0.037821838025919,0,-1.0,-1.0,11.879414096763533,1.0,0.117,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.20990820989415
E09000021,2021-04-01,13.2,0.0307278266015834,0,-1.0,-1.0,12.031671638203957,1.0,0.078,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.276585103626228
E09000022,2021-04-01,12.8,0.0342712201545632,2,0.0,-1.0,12.668834491244446,1.0,0.153,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.0,10.200108910613588
E09000023,2021-04-01,12.8,0.0325468732749353,0,-1.0,-1.0,12.61158108603281,1.0,0.164,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.18714396757182
E09000024,2021-04-01,13.2,0.0312624133860082,1,1.0,-1.0,12.278881559987983,1.0,0.1,2021,4,1,0,0,0,0,0,0,0,24,51.5,-0.25,10.243488308690504
E09000025,2021-04-01,12.8,0.0395334778293966,2,83.0,-1.0,12.786406607907107,1.0,0.169,2021,4,1,0,1,0,0,0,0,0,24,51.5,0.0,10.129102338414944
E09000026,2021-04-01,12.8,0.0442737140357504,1,446.0,-1.0,12.665255440144245,1.0,0.121,2021,4,1,0,1,0,1,0,0,0,24,51.5,0.0,10.099222968019124
E09000027,2021-04-01,13.2,0.0347019802769625,0,-1.0,-1.0,12.18236891883094,1.0,0.064,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.264730512301451
E09000028,2021-04-01,12.8,0.0361298298370863,1,1.0,-1.0,12.642154248752698,1.0,0.162,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.0,10.178696695300916
E09000029,2021-04-01,13.7,0.0287963643582746,1,0.0,-1.0,12.25303733501027,1.0,0.095,2021,4,1,0,0,0,0,0,0,0,24,51.25,-0.25,10.261128822241986
E09000030,2021-04-01,12.8,0.0384554679028807,0,-1.0,-1.0,12.65304751159509,1.0,0.192,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.1519266196667
E09000031,2021-04-01,12.8,0.0467119128890353,0,-1.0,-1.0,12.535905029897908,1.0,0.152,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.122342358439294
E09000032,2021-04-01,13.2,0.0340350861393199,0,-1.0,-1.0,12.702075959604334,1.0,0.107,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.223211088060484
E09000033,2021-04-01,13.2,0.0391349357320164,3,27.0,-1.0,12.234460859988475,1.0,0.135,2021,4,1,0,1,0,0,0,0,0,24,51.5,-0.25,10.193120300417164
E06000031,2021-04-02,11.7,0.0017725593817201,0,-1.0,-1.0,12.2852072486939,1.0,0.156,2021,4,0,0,0,0,0,0,0,0,24,52.5,-0.25,10.150120291182729
E06000032,2021-04-02,12.0,0.0010026407928836,1,49.0,-1.0,12.3236689970955,1.0,0.155,2021,4,1,0,1,0,0,0,0,0,24,52.0,-0.5,10.213837645284771
E06000033,2021-04-02,11.7,0.0132955549534408,0,-1.0,-1.0,12.10434441402282,1.0,0.144,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.75,10.086790476656414
E06000034,2021-04-02,12.0,0.0055406875419451,1,11.0,-1.0,12.077858519724389,1.0,0.13,2021,4,1,0,1,0,0,0,0,0,24,51.5,0.25,10.098497816347232
E06000035,2021-04-02,12.1,0.006577416792006,1,2.0,2.0,12.54219839355972,1.0,0.134,2021,4,1,1,0,0,0,0,0,0,24,51.5,0.5,10.164975419399866
E06000043,2021-04-02,13.5,0.000170470317858,0,-1.0,-1.0,12.535376392672774,1.0,0.123,2021,4,0,0,0,0,0,0,0,0,24,50.75,-0.25,10.817046819245409
E06000055,2021-04-02,11.6,0.0011984089661255,0,-1.0,-1.0,12.132404576604838,1.0,0.114,2021,4,0,0,0,0,0,0,0,0,24,52.25,-0.5,10.317416976169472
E06000056,2021-04-02,12.0,0.0009949767119776,2,2.0,-1.0,12.596934983621066,0.0,0.077,2021,4,1,0,0,0,0,0,0,0,24,52.0,-0.5,10.25721298949096
E06000060,2021-04-02,12.1,0.0002687972120673,1,1.0,-1.0,13.227013440750667,1.0,0.06325,2021,4,1,0,0,0,0,0,0,0,24,51.75,-0.75,10.222389435203832
E07000008,2021-04-02,12.2,0.0075127616856598,1,1.0,-1.0,11.91064061961833,1.0,0.077,2021,4,1,0,0,0,0,0,0,0,24,52.25,0.25,10.136189385900712
E07000009,2021-04-02,12.2,0.0114436038325743,0,-1.0,-1.0,11.38651154011457,0.0,0.07,2021,4,0,0,0,0,0,0,0,0,24,52.25,0.25,10.025204816093822
E07000010,2021-04-02,11.7,0.0042059313089033,0,-1.0,-1.0,11.539869200417774,0.0,0.14,2021,4,0,0,0,0,0,0,0,0,24,52.5,0.0,9.98981256814477
E07000011,2021-04-02,11.6,0.0028385540335934,0,-1.0,-1.0,12.110810964549762,0.0,0.074,2021,4,0,0,0,0,0,0,0,0,24,52.25,-0.25,10.256491731128325
E07000012,2021-04-02,12.0,0.0066185582297681,0,-1.0,-1.0,12.001763115309677,0.0,0.056,2021,4,0,0,0,0,0,0,0,0,24,52.25,0.0,10.149074165737362
E07000061,2021-04-02,14.4,0.0004978079089449,0,-1.0,-1.0,11.535704051859568,1.0,0.141,2021,4,0,0,0,0,0,0,0,0,24,50.75,0.25,11.09762690742902
E07000062,2021-04-02,14.7,0.0015306893472686,0,-1.0,-1.0,11.41832903038917,1.0,0.202,2021,4,0,0,0,0,0,0,0,0,24,50.75,0.5,10.932928340747502
E07000063,2021-04-02,12.7,0.0003383400615986,1,3.0,-1.0,11.514584088693098,1.0,0.099,2021,4,1,0,0,0,0,0,0,0,24,51.0,0.0,10.75610268631386
E07000064,2021-04-02,13.4,0.0018444835922052,0,-1.0,-1.0,11.45448034132121,0.0,0.113,2021,4,0,0,0,0,0,0,0,0,24,51.0,0.5,10.702551823777211
E07000065,2021-04-02,12.9,0.0008105582121162,0,-1.0,-1.0,12.002063606215954,0.0,0.073,2021,4,0,0,0,0,0,0,0,0,24,51.0,0.25,10.601685580896213
