LAD21CD,date,gust_grid,hours,grid_lat,grid_lon
E09000014,2021-04-14,10.0,24,51.5,0.0
E09000014,2021-04-15,11.3,24,51.5,0.0
E09000014,2021-04-16,7.4,24,51.5,0.0
E09000014,2021-04-17,8.2,24,51.5,0.0
E09000014,2021-04-18,5.7,24,51.5,0.0
E09000014,2021-04-19,6.2,24,51.5,0.0
E09000014,2021-04-20,6.2,24,51.5,0.0
E09000014,2021-04-21,12.6,24,51.5,0.0
E09000014,2021-04-22,10.5,24,51.5,0.0
E09000014,2021-04-23,11.0,24,51.5,0.0
E09000014,2021-04-24,11.9,24,51.5,0.0
E09000014,2021-04-25,14.0,24,51.5,0.0
E09000014,2021-04-26,10.8,24,51.5,0.0
E09000014,2021-04-27,6.1,24,51.5,0.0
E09000014,2021-04-28,13.3,24,51.5,0.0
E09000014,2021-04-29,9.0,24,51.5,0.0
E09000014,2021-04-30,7.5,24,51.5,0.0
E09000014,2021-05-01,7.8,24,51.5,0.0
E09000014,2021-05-02,7.4,24,51.5,0.0
E09000014,2021-05-03,23.8,24,51.5,0.0
E09000014,2021-05-04,22.6,24,51.5,0.0
E09000014,2021-05-05,11.6,24,51.5,0.0
E09000014,2021-05-06,9.9,24,51.5,0.0
E09000014,2021-05-07,10.7,24,51.5,0.0
E09000014,2021-05-08,17.7,24,51.5,0.0
E09000014,2021-05-09,14.4,24,51.5,0.0
E09000014,2021-05-10,19.0,24,51.5,0.0
E09000014,2021-05-11,12.2,24,51.5,0.0
E09000014,2021-05-12,10.2,24,51.5,0.0
E09000014,2021-05-13,11.5,24,51.5,0.0
E09000014,2021-05-14,9.9,24,51.5,0.0
E09000014,2021-05-15,9.6,24,51.5,0.0
E09000014,2021-05-16,11.4,24,51.5,0.0
E09000014,2021-05-17,9.6,24,51.5,0.0
E09000014,2021-05-18,10.7,24,51.5,0.0
E09000014,2021-05-19,12.0,24,51.5,0.0
E09000014,2021-05-20,19.9,24,51.5,0.0
E09000014,2021-05-21,24.6,24,51.5,0.0
E09000014,2021-05-22,13.6,24,51.5,0.0
E09000014,2021-05-23,18.3,24,51.5,0.0
E09000014,2021-05-24,15.6,24,51.5,0.0
E09000014,2021-05-25,14.2,24,51.5,0.0
E09000014,2021-05-26,11.6,24,51.5,0.0
E09000014,2021-05-27,6.2,24,51.5,0.0
E09000014,2021-05-28,5.9,24,51.5,0.0
E09000014,2021-05-29,9.5,24,51.5,0.0
E09000014,2021-05-30,9.1,24,51.5,0.0
E09000014,2021-05-31,9.5,24,51.5,0.0
E09000014,2021-06-01,11.6,24,51.5,0.0
E09000014,2021-06-02,10.5,24,51.5,0.0
E09000014,2021-06-03,9.4,24,51.5,0.0
E09000014,2021-06-04,8.9,24,51.5,0.0
E09000014,2021-06-05,6.2,24,51.5,0.0
E09000014,2021-06-06,5.7,24,51.5,0.0
E09000014,2021-06-07,7.7,24,51.5,0.0
E09000014,2021-06-08,6.8,24,51.5,0.0
E09000014,2021-06-09,8.2,24,51.5,0.0
E09000014,2021-06-10,9.3,24,51.5,0.0
E09000014,2021-06-11,12.3,24,51.5,0.0
E09000014,2021-06-12,7.3,24,51.5,0.0
E09000014,2021-06-13,6.2,24,51.5,0.0
E09000014,2021-06-14,8.3,24,51.5,0.0
E09000014,2021-06-15,8.1,24,51.5,0.0
E09000014,2021-06-16,9.0,24,51.5,0.0
E09000014,2021-06-17,7.9,24,51.5,0.0
E09000014,2021-06-18,12.0,24,51.5,0.0
E09000014,2021-06-19,8.8,24,51.5,0.0
