date,LAD21CD,grid_truth,grid_loo
2021-09-11,E09000031,9.5,9.66292220058075
2021-09-11,E09000032,9.5,9.730405543642654
2021-09-11,E09000033,9.5,9.691372816008874
2021-09-12,E06000031,6.1,6.477877994033849
2021-09-12,E06000032,6.9,6.137796150326858
2021-09-12,E06000033,7.2,6.134209523929966
2021-09-12,E06000034,6.1,6.05176418537594
2021-09-12,E06000035,6.4,6.080813589536035
2021-09-12,E06000043,7.6,5.985963059469974
2021-09-12,E06000055,6.5,6.309066874352208
2021-09-12,E06000056,6.9,6.1999874468181195
2021-09-12,E06000060,6.7,6.105431073178023
2021-09-12,E07000008,6.5,6.298748395647747
2021-09-12,E07000009,6.5,6.41882371266095
2021-09-12,E07000010,6.5,6.490340519497812
2021-09-12,E07000011,6.1,6.394063574541359
2021-09-12,E07000012,6.2,6.295011300342622
2021-09-12,E07000061,7.8,6.087035959280302
2021-09-12,E07000062,7.7,6.106824912320085
2021-09-12,E07000063,5.6,6.0658790849641795
2021-09-12,E07000064,5.8,6.1547059676137525
2021-09-12,E07000065,5.7,6.048125257216968
2021-09-12,E07000066,6.4,6.092864427747016
2021-09-12,E07000067,5.7,6.267528684156549
2021-09-12,E07000068,6.4,6.071026455504206
2021-09-12,E07000069,6.4,6.114919730091264
2021-09-12,E07000070,6.2,6.142033639868267
2021-09-12,E07000071,5.8,6.321945301961153
2021-09-12,E07000072,6.4,6.070254185229438
2021-09-12,E07000073,6.4,6.090789392353658
2021-09-12,E07000074,6.9,6.197978772815753
2021-09-12,E07000075,7.2,6.154493182137082
2021-09-12,E07000076,7.5,6.313126288929537
2021-09-12,E07000077,5.8,6.199202763077654
2021-09-12,E07000095,6.4,6.058813065747048
2021-09-12,E07000096,6.8,6.079343916043025
2021-09-12,E07000098,6.7,6.0207041523050995
2021-09-12,E07000099,6.6,6.1710677781607615
2021-09-12,E07000102,6.8,6.0096687440171435
2021-09-12,E07000103,6.8,6.013077120534237
2021-09-12,E07000105,6.6,6.160255497082937
2021-09-12,E07000106,6.2,6.2763332368417855
2021-09-12,E07000107,6.1,6.004170873670334
2021-09-12,E07000108,6.4,6.315328179664888
2021-09-12,E07000109,6.4,6.030088685621303
2021-09-12,E07000110,6.3,6.079727820923129
2021-09-12,E07000111,5.8,5.968361923525924
2021-09-12,E07000112,6.1,6.260714970293611
2021-09-12,E07000113,6.6,6.157985447178664
2021-09-12,E07000114,6.4,6.341606894938193
2021-09-12,E07000115,5.8,6.018548193165598
2021-09-12,E07000116,5.8,6.057432698203101
2021-09-12,E07000143,7.3,7.01384983414606
2021-09-12,E07000144,8.1,7.414172708755576
2021-09-12,E07000145,7.7,7.569829404657332
2021-09-12,E07000146,6.8,6.886572296415663
2021-09-12,E07000147,8.1,7.459663124396275
2021-09-12,E07000148,8.1,7.317910321377993
2021-09-12,E07000149,7.7,7.200591159615935
2021-09-12,E07000179,6.6,6.030304864095194
2021-09-12,E07000200,5.8,6.4461814897692635
2021-09-12,E07000202,6.4,6.531153610904962
2021-09-12,E07000203,6.5,6.731306624114917
2021-09-12,E07000207,5.2,5.912276064557496
2021-09-12,E07000208,5.2,5.917090400000436
2021-09-12,E07000209,5.2,5.886922093384419
2021-09-12,E07000210,5.2,5.898146012807158
2021-09-12,E07000211,5.2,5.913117208203402
2021-09-12,E07000212,5.9,5.903534730346506
2021-09-12,E07000213,5.9,5.916333818264451
2021-09-12,E07000215,5.5,5.928525727322156
2021-09-12,E07000216,5.3,5.884774959720795
2021-09-12,E07000217,5.2,5.897065595572778
2021-09-12,E07000223,7.6,5.96210615308971
2021-09-12,E07000224,7.2,5.9516422532553666
2021-09-12,E07000226,5.2,5.924091472193106
2021-09-12,E07000227,5.3,5.951545043236409
2021-09-12,E07000228,5.3,5.965504959422716
2021-09-12,E07000229,7.2,5.9805215197039505
2021-09-12,E07000240,6.7,6.071054701646175
2021-09-12,E07000241,6.7,6.0678367402162054
2021-09-12,E07000242,6.4,6.128040740139501
2021-09-12,E07000243,6.6,6.1420248731564735
2021-09-12,E09000001,5.7,5.977611791487163
