target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse
any_gt1000,M0,9,0.007467213049339937,0.007885757383445251,9437,67,0.007584985990520924,0.007099713892126735,False
any_gt1000,M0,10,0.007885757383445251,0.37323197467565233,12613,224,0.017618543346562876,0.017759454531039404,False
any_gt1000,M0,11,0.37323197467565233,1.0,0,0,,,True
any_gt1000,M1,0,0.0,0.007080032993633063,0,0,,,True
any_gt1000,M1,1,0.007080032993633063,0.007089165490072607,18954,149,0.0070828786903503315,0.00786113749076712,False
any_gt1000,M1,2,0.007089165490072607,0.007251295988719739,3214,28,0.007128555239682249,0.008711885500933417,False
any_gt1000,M1,3,0.007251295988719739,0.007264530790410783,14683,113,0.0072609119593015185,0.007695974937001975,False
any_gt1000,M1,4,0.007264530790410783,0.007328061847995933,23931,165,0.007311690942661145,0.006894822615018177,False
any_gt1000,M1,5,0.007328061847995933,0.007338566484320578,891,11,0.00733307679454181,0.012345679012345678,False
any_gt1000,M1,6,0.007338566484320578,0.007350831275668515,4817,42,0.0073500230911686445,0.008719119784097987,False
any_gt1000,M1,7,0.007350831275668515,0.007458726017850879,18053,122,0.007363354272360178,0.00675787957680164,False
any_gt1000,M1,8,0.007458726017850879,0.007467213049339937,15080,102,0.007465846179605363,0.006763925729442971,False
any_gt1000,M1,9,0.007467213049339937,0.007885757383445251,10226,67,0.007564502128051449,0.0065519264619597105,False
any_gt1000,M1,10,0.007885757383445251,0.37323197467565233,11807,221,0.0183631607778342,0.018717709833149826,False
any_gt1000,M1,11,0.37323197467565233,1.0,0,0,,,True
any_gt1000,M2,0,0.0,0.007080032993633063,0,0,,,True
any_gt1000,M2,1,0.007080032993633063,0.007089165490072607,17517,138,0.007080978762169069,0.00787806131186847,False
any_gt1000,M2,2,0.007089165490072607,0.007251295988719739,11246,98,0.007203016350066388,0.008714209496709941,False
