scope,role,peak_lower,peak_upper,feature,n,zero_n,positive_n,zero_fraction,min,p05,p25,p50,p75,p95,max,correlation_with_G
fold_0,test,15.0,20.0,J,3766,0,3766,0.0,0.009019968281430224,0.020307318699538647,0.044185229238754356,0.08581247296712807,0.1712481752811419,0.36016571150519044,0.7339244521337948,0.7744924104770303
fold_0,test,15.0,20.0,x,3766,0,3766,0.0,0.00897953134555019,0.020103874669716772,0.0432368963653964,0.08232852977499716,0.15806999661687077,0.3076065026559354,0.5503873088589218,0.7941741299976072
fold_0,test,20.0,25.0,G,900,0,900,0.0,20.0,20.1,20.5,21.3,22.7,24.2,24.9,0.9999999999999999
fold_0,test,20.0,25.0,H,900,0,900,0.0,2.0,8.0,13.0,16.0,20.0,24.0,24.0,0.24647840636667953
fold_0,test,20.0,25.0,I,900,0,900,0.0,243.81000000000006,777.4940000000001,1413.2000000000003,2049.0200000000004,2749.747500000001,3978.3790000000004,5703.9800000000005,0.5380642474520333
fold_0,test,20.0,25.0,h,900,0,900,0.0,0.08333333333333333,0.3333333333333333,0.5416666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,0.24647840636667964
fold_0,test,20.0,25.0,J,900,0,900,0.0,0.054924037629757796,0.175149131343714,0.31835712226066903,0.4615907944059978,0.619446434364187,0.896225084702999,1.2849580089388697,0.5380642474520333
fold_0,test,20.0,25.0,x,900,0,900,0.0,0.05346876208906854,0.16139499340431404,0.2763863413178904,0.3795254277626998,0.4820843474267522,0.6398651121434238,0.8263476473453074,0.5313600697635855
fold_0,test,25.0,30.0,G,192,0,192,0.0,25.0,25.1,25.5,26.1,27.3,28.435,29.9,1.0
fold_0,test,25.0,30.0,H,192,0,192,0.0,8.0,10.0,16.0,19.0,22.0,24.0,24.0,0.4784208745746163
fold_0,test,25.0,30.0,I,192,0,192,0.0,1025.2600000000002,1499.3365000000006,2502.7000000000003,3593.0550000000007,4231.045000000001,5972.563,8140.14,0.45709373863225805
fold_0,test,25.0,30.0,h,192,0,192,0.0,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.7916666666666666,0.9166666666666666,1.0,1.0,0.47842087457461663
fold_0,test,25.0,30.0,J,192,0,192,0.0,0.2309643526528259,0.33776143039936574,0.5637930723760093,0.8094216317041525,0.9531441482843139,1.3454627577133795,1.8337613538062285,0.4570937386322584
fold_0,test,25.0,30.0,x,192,0,192,0.0,0.20779788874307784,0.29099161645829674,0.44711432670486473,0.5930065086303649,0.669434763217323,0.8524766497371808,1.0416049294680916,0.4617785993999887
fold_0,test,30.0,35.0,G,28,0,28,0.0,30.0,30.1,30.75,31.7,32.475,33.895,34.8,1.0
fold_0,test,30.0,35.0,H,28,0,28,0.0,14.0,16.75,21.0,21.0,22.0,24.0,24.0,0.17048237328121155
fold_0,test,30.0,35.0,I,28,0,28,0.0,3533.9600000000005,4044.145,5198.675000000001,5845.299999999999,6115.2875,6567.4095,7303.830000000001,0.6021200016471944
fold_0,test,30.0,35.0,h,28,0,28,0.0,0.5833333333333334,0.6979166666666667,0.875,0.875,0.9166666666666666,1.0,1.0,0.17048237328121169
fold_0,test,30.0,35.0,J,28,0,28,0.0,0.7961090686274511,0.911040450187428,1.1711259641724339,1.3167937211649365,1.3776148671784891,1.4794661683607266,1.6453625108131489,0.6021200016471945
fold_0,test,30.0,35.0,x,28,0,28,0.0,0.5856226966705372,0.6462256615913771,0.7752113765204836,0.8401739648741341,0.8660976917820262,0.90803713842616,0.9728081110469113,0.5873702941802922
fold_0,test,35.0,40.0,G,1,0,1,0.0,35.9,35.9,35.9,35.9,35.9,35.9,35.9,
fold_0,test,35.0,40.0,H,1,0,1,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,
fold_0,test,35.0,40.0,I,1,0,1,0.0,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,
fold_0,test,35.0,40.0,h,1,0,1,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,
