Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-73895-C,3,2023-06-09,E09000003,0.0,2.0928803399005362,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0714761666383006
FREP-73897-C,1,2023-05-23,E07000071,0.0,1.8045702312117708,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.759787470684722
FREP-73897-V,4,2021-10-29,E07000228,3.6888794541139363,2.4067096896436193,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.5125204635207243
FREP-73905-V,4,2021-10-29,E07000113,1.3862943611198906,2.2815811886261526,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.387270503583229
FREP-73906-V,4,2021-10-29,E07000115,1.0986122886681098,2.321124614775977,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.421601722694487
FREP-73909-V,4,2021-10-29,E06000035,1.791759469228055,2.1524039716189183,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.2761449699616465
FREP-73914-C,4,2023-04-18,E07000076,0.6931471805599453,1.6787117084644194,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7599371524265088
FREP-73919-C,4,2023-04-18,E07000068,4.882801922586371,1.856694916187798,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.913885372768879
FREP-73923-N,0,2023-09-06,E09000026,0.6931471805599453,2.099604630682658,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.122623754789969
FREP-73925-V,4,2021-10-29,E07000113,2.302585092994046,2.1274159448059735,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.157266800638542
FREP-73926-C,1,2023-05-23,E07000011,0.0,2.2478075921534657,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.2999935761967065
