combination,model_id,prediction_type,n,k,sse,aic,bic,r2,adj_r2,rmse,n_columns,knots,component_action,source,predictions_saved,knots_mode
E0_weather,F01,LAD_OOF,9857,,,,,,,2.1744978527896999,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/quadratic,False,none_or_fixed10.8
E0_weather,F02,in_sample,9857,28,45815.871668075459,43173.729191627892,43375.215431594523,0.054886350829921771,0.052290148924581281,2.1559346798838046,28,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F02,LAD_OOF,9857,,,,,,,2.1671684323917595,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F03,in_sample,9857,26,46203.56730725478,43252.788566257579,43439.882931940883,0.046888763378859166,0.044465024093381711,2.1650372642545235,26,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F03,LAD_OOF,9857,,,,,,,2.1764542291402647,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F04,in_sample,9857,29,45884.919344395727,43190.573187336086,43399.255364444383,0.053461999421603235,0.050765309961265936,2.1575586393362918,29,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F04,LAD_OOF,9857,,,,,,,2.1695556815485717,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F05,in_sample,9857,27,45942.476088884774,43198.92978096586,43393.220083790824,0.052274688936440161,0.049767989232711529,2.1589114055053344,27,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F05,LAD_OOF,9857,,,,,,,2.1700407711509011,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,F06,in_sample,9857,27,45943.971146838783,43199.250541789625,43393.540844614588,0.052243848102746737,0.04973706682611112,2.1589465328176289,27,[11.0],REFIT,APP-C-COMPLETE,True,full_sample_selected
E0_weather,F06,LAD_OOF,9857,,,,,,,2.1702720566215543,,,REFIT,APP-C-COMPLETE,True,train_selected
E0_weather,F07,in_sample,9857,28,45780.999712592544,43166.223850525712,43367.710090492343,0.055605707679419858,0.053011481828096674,2.1551140475713146,28,"[11.0, 26.0]",REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/two_hinge,False,full_sample_selected
E0_weather,F07,LAD_OOF,9857,,,,,,,2.1673700151385651,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/two_hinge,False,train_selected
E0_weather,F08,in_sample,9857,27,45811.255350081046,43170.735969467809,43365.026272292773,0.054981578640428963,0.052482038563587685,2.1558260632581034,27,"[11.0, 24.0]",DERIVE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/fits/final,True,full_sample_selected
E0_weather,F08,LAD_OOF,9857,,,,,,,2.1678968295880416,,,REUSE,results/new/20260909183317/results/model_selection/ramp_model.json#weather/nested_cv/ramp,False,train_selected
R0c_all,H01,in_sample,51173,7,70564.214516504653,161679.13554104869,161741.03631234597,0.069767563556074386,0.069658479503800108,1.1742804125331381,7,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H01,LAD_OOF,51173,,,,,,,1.1748778379784359,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H01,random_OOF,41177,,,,,,,1.1889905681772888,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H01,year_holdout,51173,,,,,,,1.1960942909268122,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H02,in_sample,51173,8,69481.35660773101,160889.76182346055,160960.50556208601,0.084042639920248741,0.083917325710915036,1.1652354954046265,8,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H02,LAD_OOF,51173,,,,,,,1.1658635292874198,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H02,random_OOF,41177,,,,,,,1.1771194153255764,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H02,year_holdout,51173,,,,,,,1.1841332565678842,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H03,in_sample,51173,9,69448.28830704547,160867.40123168076,160946.9879376344,0.084478572015951103,0.084335421139868916,1.1649581768159725,9,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H03,LAD_OOF,51173,,,,,,,1.1656577737015521,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H03,random_OOF,41177,,,,,,,1.1778011311307313,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H03,year_holdout,51173,,,,,,,1.1836261424114485,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H04,in_sample,51173,14,68454.541144534553,160139.86881096713,160263.6703535617,0.097578921116776796,0.097349607134379124,1.1565933549791252,14,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H04,LAD_OOF,51173,,,,,,,1.1597471421607148,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
R0c_all,H04,random_OOF,41177,,,,,,,1.1694906161234861,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
