Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_cu,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,grid_index,gust
0,-0.10204516220347393,0,0,0,0.010413215129133303,-0.0010626182269120766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,9.483277591973243
0,-0.0775856413440556,0,0,0,0.0060195317427684299,-0.00046702923085358933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9.615384615384615
0,-0.053126120484637281,0,0,0,0.0028223846777481968,-0.00014994234844404488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9.7474916387959869
0,-0.028666599625219287,0,0,0,0.00082177393407262256,-2.3557464350501221e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9.8795986622073571
0,-0.004207078765800963,0,0,0,1.7699511741653354e-05,-7.4463240013354646e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10.011705685618729
0,0.020252442093617033,0,0,0,0.00041016141075531109,8.3067702203582075e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10.143812709030099
0,0.044711962953035353,0,0,0,0.0019991596311136057,8.9386351363555372e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,10.275919732441471
0,0.06917148381245368,0,0,0,0.0047846941728165414,0.00033096439552252082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10.408026755852843
0,0.093631004671871673,0,0,0,0.0087667650358640558,0.00082084101803018856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10.540133779264213
0,0.11809052553129,0,0,0,0.013945372220256255,0.0016468163342195136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,10.672240802675585
0,0.14255004639070831,0,0,0,0.020320515725993093,0.0028966904594234333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10.804347826086957
0,0.16700956725012631,0,0,0,0.027892195553074463,0.0046582635089748633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10.936454849498327
0,0.19146908810954463,0,0,0,0.036660411701500563,0.0070193355982067929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,11.068561872909699
0,0.21592860896896263,0,0,0,0.046625164171271168,0.010067706842452099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,11.200668896321069
0,0.24038812982838095,0,0,0,0.057786452962386534,0.013891177357043804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,11.332775919732441
0,0.26484765068779931,0,0,0,0.070144278074846564,0.018577547257314822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,11.464882943143813
0,0.2893071715472173,0,0,0,0.083698639508651015,0.024214616658598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,11.596989966555183
0,0.31376669240663557,0,0,0,0.098449537263800263,0.030890185676226423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11.729096989966555
0,0.33822621326605362,0,0,0,0.11439697134029399,0.038692054425532897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11.861204013377925
0,0.36268573412547189,0,0,0,0.13154094173813249,0.04770802302185051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,11.993311036789297
0,0.38714525498489022,0,0,0,0.14988144845731566,0.058025891580512155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,12.125418060200669
0,0.41160477584430821,0,0,0,0.16941849149784322,0.06973346021685059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,12.257525083612039
0,0.43606429670372654,0,0,0,0.19015207085971567,0.082918529046199077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,12.389632107023411
0,0.46052381756314453,0,0,0,0.21208218654293243,0.097668898183890199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,12.521739130434781
0,0.48498333842256286,0,0,0,0.23520883854749414,0.11407236774525729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,12.653846153846153
0,0.50944285928198119,0,0,0,0.25953202687340049,0.13221673784563312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,12.785953177257525
0,0.53390238014139924,0,0,0,0.28505175152065115,0.15218980860035039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,12.918060200668895
0,0.55836190100081751,0,0,0,0.31176801248924674,0.17407938012474242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,13.050167224080267
0,0.58282142186023556,0,0,0,0.33968080977918663,0.19797325253414177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,13.182274247491637
0,0.60728094271965383,0,0,0,0.36879014339047145,0.22395922594388182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,13.314381270903009
0,0.63174046357907221,0,0,0,0.39909601332310107,0.25212510046929543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,13.446488294314381
0,0.65619998443849015,0,0,0,0.43059841957707473,0.2825586762257149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,13.578595317725751
0,0.68065950529790853,0,0,0,0.46329736215239359,0.3153477533284742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,13.710702341137123
0,0.7051190261573268,0,0,0,0.49719284104905692,0.3505801318929056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,13.842809364548495
0,0.72957854701674485,0,0,0,0.53228485626706457,0.38834361203434187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,13.974916387959865
0,0.75403806787616312,0,0,0,0.56857340780641719,0.42872599386811655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,14.107023411371237
0,0.77849758873558117,0,0,0,0.60605849566711412,0.47181507750956198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,14.239130434782608
0,0.80295710959499944,0,0,0,0.64474011984915591,0.5176986630740118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,14.371237458193979
0,0.82741663045441771,0,0,0,0.68461828035254246,0.56646455067679857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,14.503344481605351
0,0.85187615131383576,0,0,0,0.72569297717727321,0.61820054043325479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,14.635451505016722
