Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,gust_hinge_11,z_temperature_sq,z_gust_precip,grid_index,gust
0,-0.055885410221668472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9749163879598655,0,0,102,13.974916387959865
0,-0.037639848078689288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1070234113712374,0,0,103,14.107023411371237
0,-0.01939428593571035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2391304347826075,0,0,104,14.239130434782608
0,-0.0011487237927311669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3712374581939795,0,0,105,14.371237458193979
0,0.017096838350248018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5033444816053514,0,0,106,14.503344481605351
0,0.035342400493226955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6354515050167215,0,0,107,14.635451505016722
0,0.053587962636206139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7675585284280935,0,0,108,14.767558528428093
0,0.071833524779185073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8996655518394636,0,0,109,14.899665551839464
0,0.090079086922164264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0317725752508355,0,0,110,15.031772575250836
0,0.10832464906514344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1638795986622075,0,0,111,15.163879598662207
0,0.1265702112081224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2959866220735776,0,0,112,15.295986622073578
0,0.14481577335110157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4280936454849495,0,0,113,15.42809364548495
0,0.1630613354940805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5602006688963197,0,0,114,15.56020066889632
0,0.18130689763705968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6923076923076916,0,0,115,15.692307692307692
0,0.19955245978003888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8244147157190636,0,0,116,15.824414715719064
0,0.21779802192301781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9565217391304337,0,0,117,15.956521739130434
0,0.23604358406599699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0886287625418056,0,0,118,16.088628762541806
0,0.25428914620897619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2207357859531776,0,0,119,16.220735785953178
0,0.27253470835195487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3528428093645459,0,0,120,16.352842809364546
0,0.29078027049493405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4849498327759179,0,0,121,16.484949832775918
0,0.30902583263791322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6170568561872898,0,0,122,16.61705685618729
0,0.3272713947808924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7491638795986617,0,0,123,16.749163879598662
0,0.34551695692387163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8812709030100336,0,0,124,16.881270903010034
0,0.36376251906685081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0133779264214056,0,0,125,17.013377926421406
0,0.38200808120982949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1454849498327739,0,0,126,17.145484949832774
0,0.40025364335280866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2775919732441459,0,0,127,17.277591973244146
0,0.41849920549578784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4096989966555178,0,0,128,17.409698996655518
0,0.43674476763876702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5418060200668897,0,0,129,17.54180602006689
0,0.45499032978174619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6739130434782616,0,0,130,17.673913043478262
0,0.47323589192472493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80602006688963,0,0,131,17.80602006688963
