Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],grid_index,gust
0,0.37899097545275712,0,0,0,0.14363415947463234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,17.145484949832774
0,0.3971412507191393,0,0,0,0.15772117302276226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,17.277591973244146
0,0.41529152598552149,0,0,0,0.17246705155538308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,17.409698996655518
0,0.43344180125190368,0,0,0,0.18787179507249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,17.54180602006689
0,0.45159207651828592,0,0,0,0.2039354035740974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,17.673913043478262
0,0.46974235178466761,0,0,0,0.22065787706019041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,17.80602006688963
0,0.4878926270510498,0,0,0,0.23803921553077476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,17.938127090301002
0,0.50604290231743199,0,0,0,0.25607941898585002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,18.070234113712374
0,0.52419317758381423,0,0,0,0.27477848742541622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,18.202341137123746
0,0.54234345285019636,0,0,0,0.29413642084947317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,18.334448160535118
0,0.56049372811657805,0,0,0,0.31415321925802053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,18.466555183946486
0,0.57864400338296029,0,0,0,0.33482888265105937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,18.598662207357858
0,0.59679427864934242,0,0,0,0.35616341102858895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,18.73076923076923
0,0.61494455391572467,0,0,0,0.37815680439060961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,18.862876254180602
0,0.63309482918210691,0,0,0,0.40080906273712114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,18.994983277591974
0,0.6512451044484886,0,0,0,0.42412018606812285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,19.127090301003342
0,0.66939537971487073,0,0,0,0.44809017438361598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,19.259197324414714
0,0.68754565498125297,0,0,0,0.47271902768360013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,19.391304347826086
0,0.70569593024763511,0,0,0,0.49800674596807509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,19.523411371237458
