combination,model_id,prediction_type,bin,left,right,first_includes_minimum,n,mean_prediction,mean_observed,bias,requested_quantiles,actual_bins,rule
E0_weather,hinge,LAD_OOF,4,3.2277098406017353,3.3844434532790526,False,986,3.3077663376090025,3.2417961836230007,0.065970153986001673,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,5,3.3844434532790526,3.5320716421719069,False,985,3.4573715187976304,3.4025807151624896,0.05479080363514071,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,6,3.5320716421719069,3.6731586137955174,False,986,3.6011524824066483,3.5635758155700881,0.03757666683656008,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,7,3.6731586137955174,3.8232005483862888,False,985,3.7435470079043323,3.9103773216902411,-0.16683031378590893,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,8,3.8232005483862888,4.0279016944721766,False,988,3.9219197785342321,3.8293196566941403,0.092600121840091545,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,9,4.0279016944721766,4.8990027279031096,False,984,4.2054863197786787,4.0777683782916609,0.12771794148701843,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
R0c_all,final,in_sample,0,-0.6298843302711552,1.1014103272813784,True,2559,0.84503623739719214,0.96845781849393109,-0.12342158109673926,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
R0c_all,final,in_sample,1,1.1014103272813784,1.3555059661739277,False,2559,1.2376863753339629,1.1062907462926783,0.13139562904128479,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
R0c_all,final,in_sample,2,1.3555059661739277,1.5189166935715737,False,2558,1.4421241586729383,1.2980197542388685,0.14410440443407013,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
R0c_all,final,in_sample,3,1.5189166935715737,1.6165454016017913,False,2559,1.5704222197327389,1.5708084793873731,-0.00038625965463434176,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
