task,model,config,folds,macro_mse,pooled_sse,pooled_n,pooled_mse
R_C_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",3,2.5950520106198223,14608.324466713007,3382,4.319433609317861
R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3,2.5049261863752315,14247.355219386744,3382,4.2127011293278365
R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",3,2.530199121441786,14333.208009691545,3382,4.2380863423097415
R_log,B00,{},3,3.051588391823534,13500.14698447774,3382,3.9917643360371793
R_log,B01,"{""lambda"":0.001}",3,36.01707658043717,256734.0650022543,3382,75.9119056777807
R_log,B01,"{""lambda"":0.1}",3,9.84343844260141,26678.28620495939,3382,7.888316441442753
R_log,B01,"{""lambda"":0}",3,78801.06171320556,121249305.65910172,3382,35851.361815228185
R_log,G02,"{""lambda"":0.001}",3,2.4619464005533014,13528.939010196378,3382,4.000277649377995
R_log,G02,"{""lambda"":0.1}",3,2.525064931161647,13922.360259313205,3382,4.116605635515437
R_log,G02,"{""lambda"":0}",3,2.459497938865634,13513.195370326355,3382,3.9956225222727246
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",3,2.519558547415263,13931.69903809363,3382,4.119366953901133
R_log,G05,"{""max_leaf_nodes"":15,""min_samples_leaf"":50}",3,2.507962879767681,13976.978041567194,3382,4.1327551867437
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",3,2.493675098743518,13842.676670631708,3382,4.0930445507485835
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",3,2.4916855975321446,13844.106051107015,3382,4.093467194295392
R_log,P00,"{""lambda"":0.001}",3,3.0259815580497578,14224.025889792007,3382,4.205803042516856
R_log,P00,"{""lambda"":0.1}",3,3.010236732124961,14475.806212929794,3382,4.28025021080124
R_log,P00,"{""lambda"":0}",3,3.0227843758476425,14207.745348281558,3382,4.200989162708917
R_log,P02,"{""lambda"":0.001}",3,2.9642220049790686,14785.34090276623,3382,4.371774365099418
R_log,P02,"{""lambda"":0.1}",3,3.160220306653565,16568.367661624725,3382,4.898985115796784
R_log,P02,"{""lambda"":0}",3,2.9054619747361623,14316.385291232731,3382,4.233112149980109
R_log,S01,"{""lambda"":0.001}",3,12.862084721663527,65958.44129861805,3382,19.502791631761696
R_log,S01,"{""lambda"":0.1}",3,6.5743568438807225,21507.996100534827,3382,6.359549408792083
R_log,S01,"{""lambda"":0}",3,87736.30127273758,134101660.82352659,3382,39651.58510453181
R_log,S02,"{""lambda"":0.001}",3,11.760004513014055,56823.39719910708,3382,16.801714133384706
R_log,S02,"{""lambda"":0.1}",3,6.534569788946217,21718.751581116932,3382,6.4218662274148235
R_log,S02,"{""lambda"":0}",3,96475.36104458566,147409217.66684186,3382,43586.40380450676
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",3,12.54263114344321,59438.55823513827,3382,17.574972866687837
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",3,12.280164819085927,59180.6866566949,3382,17.498724617591634
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",3,14.198187518501237,66369.32260824407,3382,19.624282261455964
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",3,12.072095184028427,55579.24210963278,3382,16.433838589483376
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",3,5.477480304865371,19202.791954414668,3382,5.677939667183521
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",3,5.228187653080389,16763.965396514086,3382,4.956820046278559
