task,comparison,episode,mse_difference,range_min,range_max
E_log,S04-S02,P1,-0.029276599457627395,,
E_log,S04-S02,P2,0.20996784948798108,,
E_log,S04-S02,P3,-0.11863013953021628,,
E_log,S04-S02,P4,-0.14051350488759962,,
E_log,S04-S02,P5,-0.09726372757356394,,
E_log,S04-S02,MACRO,-0.03514322439220523,-0.14051350488759962,0.20996784948798108
E_log,S04-S02,DELETE_P1,-0.03660988062584969,,
E_log,S04-S02,DELETE_P2,-0.09642099286225181,,
E_log,S04-S02,DELETE_P3,-0.014271495607702467,,
E_log,S04-S02,DELETE_P4,-0.008800654268356634,,
E_log,S04-S02,DELETE_P5,-0.019613098596865552,,
E_log,S05-S02,P1,0.09212808837547293,,
E_log,S05-S02,P2,-0.09662740495510835,,
E_log,S05-S02,P3,-0.2842231957050645,,
E_log,S05-S02,P4,-0.31039699828755385,,
E_log,S05-S02,P5,-0.3695303911973946,,
E_log,S05-S02,MACRO,-0.1937299803539297,-0.3695303911973946,0.09212808837547293
E_log,S05-S02,DELETE_P1,-0.2651944975362803,,
E_log,S05-S02,DELETE_P2,-0.218005624203635,,
E_log,S05-S02,DELETE_P3,-0.17110667651614597,,
E_log,S05-S02,DELETE_P4,-0.16456322587052363,,
E_log,S05-S02,DELETE_P5,-0.14977987764306344,,
E_log,S05-G05,P1,0.11434715317271316,,
E_log,S05-G05,P2,-0.1056512355030339,,
E_log,S05-G05,P3,0.11920434787971024,,
E_log,S05-G05,P4,0.21596389191403098,,
E_log,S05-G05,P5,0.21660161948805445,,
E_log,S05-G05,MACRO,0.11209315539029499,-0.1056512355030339,0.21660161948805445
E_log,S05-G05,DELETE_P1,0.11152965594469044,,
E_log,S05-G05,DELETE_P2,0.1665292531136272,,
E_log,S05-G05,DELETE_P3,0.11031535726794117,,
E_log,S05-G05,DELETE_P4,0.08612547125936099,,
E_log,S05-G05,DELETE_P5,0.08596603936585512,,
E_log,S02-B01,P1,-0.02870070488711285,,
E_log,S02-B01,P2,0.030871520079108983,,
E_log,S02-B01,P3,-0.0806636368759106,,
E_log,S02-B01,P4,-0.32346257126484446,,
E_log,S02-B01,P5,-0.20313337012292987,,
E_log,S02-B01,MACRO,-0.12101775261433775,-0.32346257126484446,0.030871520079108983
E_log,S02-B01,DELETE_P1,-0.144097014546144,,
E_log,S02-B01,DELETE_P2,-0.15899007078769944,,
E_log,S02-B01,DELETE_P3,-0.13110628154894455,,
E_log,S02-B01,DELETE_P4,-0.07040654795171108,,
E_log,S02-B01,DELETE_P5,-0.10048884823718973,,
R_log,S02-G02,P1,7.558022110510532,,
R_log,S02-G02,P2,-0.40367822461228986,,
R_log,S02-G02,P3,0.35602822475915885,,
R_log,S02-G02,P4,0.08977730616400414,,
R_log,S02-G02,P5,0.2714530508652402,,
R_log,S02-G02,MACRO,1.574320493537329,-0.40367822461228986,7.558022110510532
R_log,S02-G02,DELETE_P1,0.07839508929402833,,
R_log,S02-G02,DELETE_P2,2.0688201730747338,,
R_log,S02-G02,DELETE_P3,1.8788935607318715,,
R_log,S02-G02,DELETE_P4,1.9454562903806603,,
R_log,S02-G02,DELETE_P5,1.9000373542053512,,
R_log,P00-G02,P1,0.42711269026597964,,
R_log,P00-G02,P2,0.15823487832499605,,
R_log,P00-G02,P3,0.17530583007627598,,
R_log,P00-G02,P4,0.5773305139510287,,
R_log,P00-G02,P5,0.31838355850355216,,
R_log,P00-G02,MACRO,0.3312734942243665,0.15823487832499605,0.5773305139510287
R_log,P00-G02,DELETE_P1,0.30731369521396323,,
R_log,P00-G02,DELETE_P2,0.37453314819920913,,
