task,model,config,validation_group,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",P3,2873,509,ok,509,8.913865636861292,2.985609759640615,2.6828977008317114,-5.4450695096819635,1.780364889623482,4.423205504064915,-2.6428406144414334,0.468144716779365,-0.18772983959620385,-0.21125831507272547,3.5541062777389487,-0.40100813459501317,4537.157609162397,3555.164715290657,981.9928938717402
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",P1,3110,270,ok,270,8.355566545637336,2.890599686161565,2.653196673337883,-6.160660269770019,1.7064488001878504,-0.9346451773388371,2.6410939775266873,0.4786252534319761,0.0483363417580644,0.03991270401224826,1.8008385725419693,0.10098995281061604,2256.0029673220806,1883.3518974944893,372.6510698275908
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",P2,777,2603,ok,2603,22.294971667574025,4.721755146931491,4.406905797314059,-6.260518263986328,2.9275269962016206,-1.44525539013194,4.372782386333561,0.15347786567488161,-0.03257071912721845,-0.0018092384344392464,2.620818226359834,-0.2122176965648866,58033.81125069519,49772.550752790165,8261.26049790502
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",P3,2873,509,ok,509,11.944024342292352,3.456012780979311,3.149502120131996,-7.635991414664566,1.780364889623482,-1.3513041763139784,3.1316690659374604,0.6026766790211331,-0.15072605890659324,-0.1809560798050801,1.4424112903393058,-0.2500943941474596,6079.508390226807,4991.94172952175,1087.566660705059
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":3}",P1,3110,270,ok,270,2.315679989063137,1.5217358473345948,1.2340296941101387,-0.9845210500829145,1.7064488001878504,2.702726973439104,-0.9962781732512532,0.3752006088825877,0.009168360092661433,-0.008442283446866712,1.6404052663075706,0.024435888097213983,625.2335970470469,267.99395359415064,357.23964345289625
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":3}",P2,777,2603,ok,2603,5.479574964243608,2.3408491972452237,2.0502819302443482,-0.7844630932918342,2.9275269962016206,1.4232197694221878,1.504307226779433,0.14270147104205552,-0.09515172257829087,-0.07692717954374433,3.87651379836352,-0.6667886594543146,14263.33363192611,5890.433425303777,8372.900206622337
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":3}",P3,2873,509,ok,509,9.273095985911707,3.045175854677642,2.728313235360188,-5.704806941671401,1.780364889623482,4.46607383252426,-2.6857089429007774,0.5286079378543177,-0.19870982517573121,-0.2241347661072123,3.459213591905706,-0.37591154227141943,4720.005856829059,3671.4335557224003,1048.5723011066573
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",P1,3110,270,ok,270,7.3068186203341865,2.703112765005224,2.4533137273494394,-5.261890861291904,1.7064488001878504,-0.7311466660307938,2.4375954662186445,0.4558443513316906,0.04172956054765198,0.03796794384730369,1.773380481978386,0.09154344114552351,1972.8410274902303,1604.3053473710165,368.53568011921396
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",P2,777,2603,ok,2603,20.140976422259104,4.487869920380837,4.184593548870941,-5.559054182652942,2.9275269962016206,-1.208967808660922,4.136494804862543,0.23387407596939158,0.1450132063056958,0.1659641799243292,3.6771453432869805,0.6200482276824667,52426.96162714045,44538.86387151446,7888.097755626
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",P3,2873,509,ok,509,9.392699414664493,3.064751117899216,2.7609965619603924,-5.791284845121091,1.780364889623482,-0.9479332256286293,2.7282981152521106,0.5225732787128156,-0.13030109292571115,-0.16137410996113943,1.5440023729172179,-0.24934511241497892,4780.884002064227,3788.7977982953034,992.086203768922
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",P1,3110,270,ok,270,2.144813347901847,1.4645181282257476,1.1735887433923113,-0.8380895708875833,1.7064488001878504,2.6138230184981053,-0.9073742183102546,0.3634519739458791,-0.0005586697730840394,-0.023302519333352607,1.7104665632413087,-0.0015371213066165635,579.0996039334987,222.29855245461928,356.80105147887934
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",P2,777,2603,ok,2603,4.437981490166607,2.1066517249338124,1.8299178082908458,-0.44526066886426663,2.9275269962016206,1.7491064830186123,1.1784205131830083,0.21944373195157935,0.1256059519105779,0.13093863455858448,1.9263674605034546,0.5723834114263657,11552.065818903677,3614.720780032984,7937.345038870695
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",P3,2873,509,ok,509,9.101768121172714,3.0169136747962666,2.7255894862561787,-5.580930271080592,1.780364889623482,4.469377072646963,-2.689012183023481,0.4404346171191941,-0.1802871307304894,-0.20530473072606087,3.6098558906954774,-0.4093391475668196,4632.799973676912,3680.4703389083925,952.3296347685198
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",P1,3110,270,ok,270,7.687534593588195,2.772640364992942,2.536341136861734,-5.5881617046699885,1.7064488001878504,-0.8177288882123157,2.524177688400166,0.42593687448832196,0.06288130020180295,0.04744022764175861,1.827170575603834,0.14763056210463632,2075.6343402688126,1720.2977107066456,355.33662956216693
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",P2,777,2603,ok,2603,18.61627198256397,4.314657805963756,3.9976034969692624,-5.062523189178387,2.9275269962016206,-1.0130010427102356,3.9405280389118564,0.1281055030083012,0.04143157127754339,0.08153794671913062,3.255149338097076,0.32341757617437134,48458.15597061401,40418.7624698477,8039.393500766304
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",P3,2873,509,ok,509,9.912478975933114,3.1484089594481075,2.834474817425679,-6.167105565172672,1.780364889623482,-1.0237925964554562,2.804157486078938,0.5664902797002657,-0.1418603048844499,-0.1701955850002034,1.5239870927291403,-0.2504196629102078,5045.451798749955,4002.419296226868,1043.0325025230868
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":5}",P1,3110,270,ok,270,2.124188587480376,1.4574596349403217,1.168955041850908,-0.820414299950909,1.7064488001878504,2.6359845839419633,-0.929535783754113,0.31376175215204427,0.029489605337641413,-0.004416181747813869,1.458699848878812,0.09398725349847989,573.5309186197015,233.28992878543076,340.24098983427064
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":5}",P2,777,2603,ok,2603,5.072427103119815,2.2522049425218422,1.9725987786366665,-0.6518724568959311,2.9275269962016206,1.528265150544263,1.3992618456573576,0.10110498999122858,-0.019954545279975273,0.012494546676719369,3.2291524268454435,-0.19736459379212085,13203.527749420879,5096.5014541904675,8107.026295230411
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":5}",P3,2873,509,ok,509,9.371745179202593,3.061330622327911,2.7563550856145316,-5.776134122687524,1.780364889623482,4.4961150423145755,-2.7157501526910934,0.5031021901408268,-0.18922203905922425,-0.2115652233833864,3.4714011697745804,-0.37611054526766774,4770.21829621412,3754.027135947424,1016.1911602666964
R_log,S04,"{""control_lambda"":0.001}",P1,3110,270,ok,270,7.938182694750045,2.817478073517174,2.58149272956329,-5.80296531970673,1.7064488001878504,-0.8628770380474386,2.5693258382352893,0.43301298795725307,0.048401942271371755,0.038193851870853446,1.8029006982703795,0.11177942375287359,2143.309327582512,1782.3875210163374,360.92180656617444
R_log,S04,"{""control_lambda"":0.001}",P2,777,2603,ok,2603,97.31483923064457,9.864828393370285,9.706493361680453,-30.691279007930238,2.9275269962016206,-6.7789663654788335,9.706493361680453,0.15964442327493705,0.05114917809284805,0.09312576589214547,5.099469810114739,0.32039439301152267,253310.5265173678,245244.28282904244,8066.243688325308
R_log,S04,"{""control_lambda"":0.001}",P3,2873,509,ok,509,6.03110845579354,2.4558315202378074,2.1430533997245287,-3.36072460608763,1.780364889623482,-0.293759958829054,2.074124848452535,0.4368872500323542,-0.0679193775463191,-0.08941926539161449,1.734696370914767,-0.1554620271964661,3069.834203998912,2189.7148884668404,880.11931553207
R_log,S04,"{""control_lambda"":0.1}",P1,3110,270,ok,270,2.1355127807789493,1.4613393790557172,1.17186989565707,-0.8301190519383883,1.7064488001878504,2.6238636803960884,-0.917414880208238,0.3412921931885846,0.011206442627029859,-0.01562530496219187,1.620293363930161,0.032835332453202574,576.5884508103163,227.24551685542386,349.3429339548926
R_log,S04,"{""control_lambda"":0.1}",P2,777,2603,ok,2603,5.8434151864263075,2.417315698543802,2.130405247786704,-0.9029502848307405,2.9275269962016206,1.2601813826335173,1.6673456135681028,0.09208512649032924,0.05902098268163118,0.08346750521380002,2.1198271385276675,0.6409393669870193,15210.409730267678,7236.447751405718,7973.96197886196
R_log,S04,"{""control_lambda"":0.1}",P3,2873,509,ok,509,9.874747498104094,3.1424110962927965,2.8944703045551017,-6.139824247816325,1.780364889623482,4.64671698023322,-2.866352090609738,0.34875427909849904,-0.11143606083607951,-0.12322009157073543,3.2651117934774314,-0.3195260030188947,5026.246476534984,4181.930922437493,844.3155540974901
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P1,49564,270,ok,270,1.1560988778770647,1.0752203857242777,0.8083406866470781,0.009231599374624255,1.7064488001878504,1.8204095043413662,-0.11396070415351572,0.13694177210014202,0.14281416521437132,0.20026764752674603,-0.19202424951609864,1.0428824092471582,312.1466970268075,3.5065013646145866,308.64019566219287
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P2,47038,2603,ok,2603,4.9241367844617825,2.219039608583358,1.9406506125253673,-0.603580645493681,2.9275269962016206,1.567500727178978,1.3600262690226426,0.06993075939123247,0.026229585805675918,0.04215860846651233,2.339589796864484,0.3750793790030603,12817.52804995402,4814.694790679583,8002.833259274437
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",P3,49285,509,ok,509,1.4007896338917072,1.1835495908037428,0.9304279773276495,-0.012825066774617255,1.780364889623482,1.517340870085468,0.26302401953801363,0.1171734444018753,0.21730839467366303,0.25403844323764013,-1.0336763834154712,1.854587409143237,713.001923650879,35.21345214065209,677.7884715102268
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P1,49564,270,ok,270,1.1619312730172928,1.077929159554232,0.812252632308118,0.004233278802330154,1.7064488001878504,1.8208549688727653,-0.11440616868491503,0.14951902513321597,0.12642605303312957,0.17544523503858034,0.16682194229974634,0.8455516140537207,313.7214437146691,3.5339682869535327,310.1874754277156
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",P2,47038,2603,ok,2603,4.926935872935322,2.219670217157342,1.9410118142125674,-0.6044921888357253,2.9275269962016206,1.5663818802351277,1.3611451159664927,0.07204433862311103,0.028097485722620417,0.04165137042945771,2.3166338523792214,0.39000268806141886,12824.814077250643,4822.619817550694,8002.19425969995
