target,candidate,fold,n,valid,brier,brier_a01,absolute_gain,relative_gain,constant_brier
any_gt0,A04_top3_mean,2,24112,True,0.21847171552095884,0.21839696042846257,-7.475509249627033e-05,-0.0003422899858570004,0.22080077715836177
any_gt0,A04_top3_mean,3,24112,True,0.2269758469630351,0.22685682406409402,-0.00011902289894108464,-0.0005246608711557075,0.22746349662901702
any_gt0,A04_top3_mean,4,24112,True,0.23351903227496615,0.23342058262705714,-9.844964790900468e-05,-0.0004217693521325004,0.23558157290972306
any_gt0,A05_max_rolling3h_mean,0,25208,True,0.22008581792785525,0.2200506938934814,-3.5124034373862356e-05,-0.00015961792145433831,0.22278388835185486
any_gt0,A05_max_rolling3h_mean,1,24112,True,0.2209048439815501,0.22079526292475374,-0.00010958105679637065,-0.0004963016658274752,0.22356232336083168
any_gt0,A05_max_rolling3h_mean,2,24112,True,0.21847316513528545,0.21839696042846257,-7.620470682287439e-05,-0.00034892750646974214,0.22080077715836177
any_gt0,A05_max_rolling3h_mean,3,24112,True,0.22698336200388414,0.22685682406409402,-0.00012653793979011674,-0.0005577876720797515,0.22746349662901702
any_gt0,A05_max_rolling3h_mean,4,24112,True,0.23354155541239613,0.23342058262705714,-0.00012097278533898526,-0.0005182610032820756,0.23558157290972306
any_gt5,A01_daily_max,0,25208,True,0.13399230075398078,0.13399230075398078,0.0,0.0,0.13624571926175774
any_gt5,A01_daily_max,1,24112,True,0.1346752256777317,0.1346752256777317,0.0,0.0,0.1368854936584309
any_gt5,A01_daily_max,2,24112,True,0.12906788782491171,0.12906788782491171,0.0,0.0,0.13069214802557516
any_gt5,A01_daily_max,3,24112,True,0.14063117846705067,0.14063117846705067,0.0,0.0,0.1415881650753081
any_gt5,A01_daily_max,4,24112,True,0.14790693380075007,0.14790693380075007,0.0,0.0,0.14965269629330002
any_gt5,A02_daily_mean,0,25208,True,0.13458021895743297,0.13399230075398078,-0.0005879182034521924,-0.00438770138391497,0.13624571926175774
any_gt5,A02_daily_mean,1,24112,True,0.13514599093753327,0.1346752256777317,-0.00047076525980155326,-0.003495559464871893,0.1368854936584309
any_gt5,A02_daily_mean,2,24112,True,0.12966805491480163,0.12906788782491171,-0.0006001670898899136,-0.004650010936136772,0.13069214802557516
any_gt5,A02_daily_mean,3,24112,True,0.14123924851863717,0.14063117846705067,-0.0006080700515865012,-0.004323863727907035,0.1415881650753081
any_gt5,A02_daily_mean,4,24112,True,0.1483288024337456,0.14790693380075007,-0.0004218686329955368,-0.002852257309071452,0.14965269629330002
any_gt5,A03_daily_q90,0,25208,True,0.1341484604952143,0.13399230075398078,-0.00015615974123353582,-0.001165438165885785,0.13624571926175774
any_gt5,A03_daily_q90,1,24112,True,0.13477051410180768,0.1346752256777317,-9.528842407596771e-05,-0.0007075423382173213,0.1368854936584309
any_gt5,A03_daily_q90,2,24112,True,0.12926332985982694,0.12906788782491171,-0.0001954420349152275,-0.0015142576376577592,0.13069214802557516
any_gt5,A03_daily_q90,3,24112,True,0.14076561052875952,0.14063117846705067,-0.00013443206170885014,-0.0009559193286597327,0.1415881650753081
any_gt5,A03_daily_q90,4,24112,True,0.14802582775516246,0.14790693380075007,-0.00011889395441239126,-0.0008038430069313513,0.14965269629330002
any_gt5,A04_top3_mean,0,25208,True,0.13401128920802166,0.13399230075398078,-1.8988454040885783e-05,-0.00014171302331579416,0.13624571926175774
any_gt5,A04_top3_mean,1,24112,True,0.13469496523788346,0.1346752256777317,-1.9739560151749158e-05,-0.0001465715765643826,0.1368854936584309
any_gt5,A04_top3_mean,2,24112,True,0.12912396316749286,0.12906788782491171,-5.607534258114666e-05,-0.0004344639361977954,0.13069214802557516
any_gt5,A04_top3_mean,3,24112,True,0.14068662549304983,0.14063117846705067,-5.544702599916129e-05,-0.0003942726399903725,0.1415881650753081
any_gt5,A04_top3_mean,4,24112,True,0.14793760047922141,0.14790693380075007,-3.0666678471347186e-05,-0.0002073376662155623,0.14965269629330002
any_gt5,A05_max_rolling3h_mean,0,25208,True,0.1340228440482679,0.13399230075398078,-3.054329428711644e-05,-0.00022794812922270858,0.13624571926175774
any_gt5,A05_max_rolling3h_mean,1,24112,True,0.13470400879864777,0.1346752256777317,-2.878312091605939e-05,-0.00021372246284506226,0.1368854936584309
any_gt5,A05_max_rolling3h_mean,2,24112,True,0.12912017248915572,0.12906788782491171,-5.2284664244006684e-05,-0.00040509428894454325,0.13069214802557516
any_gt5,A05_max_rolling3h_mean,3,24112,True,0.1406854563403357,0.14063117846705067,-5.4277873285019096e-05,-0.0003859590303990533,0.1415881650753081
any_gt5,A05_max_rolling3h_mean,4,24112,True,0.14795676246809025,0.14790693380075007,-4.9828667340184873e-05,-0.00033689203108835036,0.14965269629330002
any_gt100,A01_daily_max,0,25208,True,0.05604182533494554,0.05604182533494554,0.0,0.0,0.05708089970757259
any_gt100,A01_daily_max,1,24112,True,0.057512604957874636,0.057512604957874636,0.0,0.0,0.058928445958570275
any_gt100,A01_daily_max,2,24112,True,0.05389174670431336,0.05389174670431336,0.0,0.0,0.054700936290447845
any_gt100,A01_daily_max,3,24112,True,0.05320292390603849,0.05320292390603849,0.0,0.0,0.05361179967848385
any_gt100,A01_daily_max,4,24112,True,0.05940165382196446,0.05940165382196446,0.0,0.0,0.06020903720143228
any_gt100,A02_daily_mean,0,25208,True,0.05635776219333928,0.05604182533494554,-0.0003159368583937408,-0.005637519058408233,0.05708089970757259
any_gt100,A02_daily_mean,1,24112,True,0.05788201593913193,0.057512604957874636,-0.00036941098125729127,-0.006423130747213902,0.058928445958570275
any_gt100,A02_daily_mean,2,24112,True,0.05424041101677002,0.05389174670431336,-0.0003486643124566563,-0.006469716306833864,0.054700936290447845
any_gt100,A02_daily_mean,3,24112,True,0.05356264552045287,0.05320292390603849,-0.0003597216144143739,-0.00676131287539153,0.05361179967848385
any_gt100,A02_daily_mean,4,24112,True,0.05961958241230516,0.05940165382196446,-0.0002179285903406991,-0.0036687293420123173,0.06020903720143228
any_gt100,A03_daily_q90,0,25208,True,0.05612034315541893,0.05604182533494554,-7.851782047339079e-05,-0.0014010575138142418,0.05708089970757259
any_gt100,A03_daily_q90,1,24112,True,0.05763126967324115,0.057512604957874636,-0.00011866471536651352,-0.002063281874528723,0.058928445958570275
