Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-373813-Z,2023-05-16T00:42:00+01:00,2023-05-16T00:42:00+01:00,2023-05-15 23:42:00+00:00,2023-05-15 23:42:00+00:00,2023-05-16 00:42:00+01:00,2023-05-15,2023-05-16,development,development,development,True,True,2023-05-16 05:54:00+00:00,False
FREP-374237-Z,2023-05-18T00:42:00+01:00,2023-05-18T00:42:00+01:00,2023-05-17 23:42:00+00:00,2023-05-17 23:42:00+00:00,2023-05-18 00:42:00+01:00,2023-05-17,2023-05-18,development,development,development,True,True,2023-05-18 03:00:00+00:00,False
FREP-374421-Z,2023-05-19T00:00:00+01:00,2023-05-19T00:00:00+01:00,2023-05-18 23:00:00+00:00,2023-05-18 23:00:00+00:00,2023-05-19 00:00:00+01:00,2023-05-18,2023-05-19,development,development,development,True,True,2023-05-18 23:44:00+00:00,False
FREP-374422-Z,2023-05-19T00:35:00+01:00,2023-05-19T00:35:00+01:00,2023-05-18 23:35:00+00:00,2023-05-18 23:35:00+00:00,2023-05-19 00:35:00+01:00,2023-05-18,2023-05-19,development,development,development,True,True,2023-05-19 00:33:00+00:00,False
FREP-374424-Z,2023-05-19T09:00:00+01:00,2023-05-19T00:12:00+01:00,2023-05-19 08:00:00+00:00,2023-05-18 23:12:00+00:00,2023-05-19 00:12:00+01:00,2023-05-18,2023-05-19,development,development,development,True,True,2023-05-19 12:30:00+00:00,False
FREP-374427-Z,2023-05-19T00:40:00+01:00,2023-05-19T00:40:00+01:00,2023-05-18 23:40:00+00:00,2023-05-18 23:40:00+00:00,2023-05-19 00:40:00+01:00,2023-05-18,2023-05-19,development,development,development,True,True,2023-05-18 23:50:00+00:00,False
FREP-374563-Z,2023-05-20T00:46:00+01:00,2023-05-20T00:46:00+01:00,2023-05-19 23:46:00+00:00,2023-05-19 23:46:00+00:00,2023-05-20 00:46:00+01:00,2023-05-19,2023-05-20,development,development,development,True,True,2023-05-20 01:35:00+00:00,False
FREP-374668-Z,2023-05-21T00:30:00+01:00,2023-05-21T00:30:00+01:00,2023-05-20 23:30:00+00:00,2023-05-20 23:30:00+00:00,2023-05-21 00:30:00+01:00,2023-05-20,2023-05-21,development,development,development,True,True,2023-05-21 00:00:00+00:00,False
FREP-374672-Z,2023-05-21T00:59:00+01:00,2023-05-21T00:59:00+01:00,2023-05-20 23:59:00+00:00,2023-05-20 23:59:00+00:00,2023-05-21 00:59:00+01:00,2023-05-20,2023-05-21,development,development,development,True,True,2023-05-21 03:30:00+00:00,False
FREP-374778-Z,2023-05-22T00:22:00+01:00,2023-05-22T00:22:00+01:00,2023-05-21 23:22:00+00:00,2023-05-21 23:22:00+00:00,2023-05-22 00:22:00+01:00,2023-05-21,2023-05-22,development,development,development,True,True,2023-05-22 00:14:00+00:00,False
FREP-374779-Z,2023-05-22T00:20:00+01:00,2023-05-22T00:20:00+01:00,2023-05-21 23:20:00+00:00,2023-05-21 23:20:00+00:00,2023-05-22 00:20:00+01:00,2023-05-21,2023-05-22,development,development,development,True,True,2023-05-22 00:52:00+00:00,False
FREP-374781-Z,2023-05-22T00:42:00+01:00,2023-05-22T00:42:00+01:00,2023-05-21 23:42:00+00:00,2023-05-21 23:42:00+00:00,2023-05-22 00:42:00+01:00,2023-05-21,2023-05-22,development,development,development,True,True,2023-05-22 04:25:00+00:00,False
FREP-374923-Z,2023-05-23T00:24:00+01:00,2023-05-23T00:24:00+01:00,2023-05-22 23:24:00+00:00,2023-05-22 23:24:00+00:00,2023-05-23 00:24:00+01:00,2023-05-22,2023-05-23,development,development,development,True,True,2023-05-23 02:29:00+00:00,False
FREP-375232-Z,2023-05-24T00:28:00+01:00,2023-05-24T00:28:00+01:00,2023-05-23 23:28:00+00:00,2023-05-23 23:28:00+00:00,2023-05-24 00:28:00+01:00,2023-05-23,2023-05-24,development,development,development,True,True,2023-05-24 02:08:00+00:00,False
