Incident Reference,distinct_cause_code_count
FREP-14122-W,1
FREP-14123-W,1
FREP-14125-W,1
FREP-14126-W,1
FREP-14128-W,1
FREP-14129-W,1
FREP-14130-W,1
FREP-14131-W,1
FREP-14132-W,1
FREP-14133-W,1
FREP-14137-W,1
FREP-14142-W,1
FREP-14144-W,1
FREP-14147-W,1
FREP-14154-W,1
FREP-14159-O,1
FREP-14164-W,1
FREP-14166-W,1
FREP-14167-W,1
FREP-14169-W,1
FREP-14171-W,1
FREP-14172-W,1
FREP-14174-W,1
FREP-14178-W,1
FREP-14181-W,1
FREP-14184-O,1
FREP-14184-W,1
FREP-14185-W,1
FREP-14186-O,1
FREP-14186-W,1
FREP-14187-O,1
FREP-14188-O,1
FREP-14188-W,1
FREP-14189-W,1
FREP-14190-W,1
FREP-14191-W,1
FREP-14192-O,1
FREP-14192-W,1
FREP-14193-O,1
FREP-14196-W,1
FREP-14200-O,1
FREP-14200-W,1
FREP-14201-O,1
FREP-14201-W,1
FREP-14203-W,1
FREP-14204-O,1
FREP-14204-W,1
FREP-14206-O,1
FREP-14211-O,1
FREP-14214-W,1
FREP-14216-W,1
FREP-14217-O,1
FREP-14225-W,1
FREP-14230-W,1
FREP-14231-W,1
FREP-14232-W,1
FREP-14233-W,1
FREP-142338-Z,1
FREP-14234-O,1
FREP-14235-O,1
FREP-14235-W,1
FREP-14237-O,1
FREP-14238-O,1
FREP-14242-W,1
FREP-14243-W,1
FREP-14246-W,1
FREP-14249-O,1
FREP-14253-O,1
FREP-14256-O,1
FREP-14257-O,1
FREP-14259-O,1
FREP-14264-O,1
FREP-14269-W,1
FREP-14273-O,1
FREP-14275-W,1
FREP-14278-O,1
FREP-14282-O,1
FREP-14282-W,1
FREP-14283-O,1
FREP-14286-W,1
FREP-14287-O,1
FREP-14287-W,1
FREP-14289-O,1
FREP-14290-W,1
FREP-14292-O,1
FREP-14293-O,1
FREP-14293-W,1
FREP-14295-O,1
FREP-14296-O,1
FREP-14300-O,1
FREP-14314-W,1
FREP-14317-W,1
FREP-14318-O,1
FREP-14320-W,1
FREP-14323-O,1
FREP-14324-W,1
FREP-14325-O,1
FREP-14325-W,1
FREP-14332-W,1
FREP-14333-O,1
FREP-14334-W,1
FREP-14336-W,1
FREP-14337-W,1
FREP-14339-W,1
FREP-14343-W,1
FREP-14344-W,1
FREP-14345-W,1
FREP-14346-W,1
FREP-14347-W,1
FREP-14348-W,1
FREP-14349-W,1
FREP-14354-W,1
FREP-14355-O,1
FREP-14357-W,1
FREP-14363-W,1
FREP-14370-O,1
FREP-14374-O,1
FREP-14384-W,1
FREP-14385-W,1
FREP-14387-W,1
FREP-14394-W,1
FREP-14399-W,1
FREP-14401-O,1
FREP-14406-W,1
FREP-144075-Z,1
FREP-14409-W,1
FREP-14410-W,1
FREP-14415-W,1
FREP-144168-Z,1
FREP-14421-W,1
FREP-14428-W,1
FREP-14430-W,1
FREP-14435-W,1
FREP-14446-W,1
FREP-14452-W,1
FREP-14456-O,1
FREP-14459-W,1
FREP-14460-W,1
FREP-14466-W,1
FREP-14468-W,1
FREP-14470-W,1
FREP-14471-W,1
FREP-14473-W,1
FREP-14474-W,1
FREP-14475-W,1
FREP-14478-W,1
FREP-14479-W,1
FREP-14484-O,1
FREP-14489-W,1
FREP-14494-O,1
FREP-14495-W,1
FREP-14498-W,1
FREP-14505-O,1
FREP-14506-O,1
FREP-14508-W,1
FREP-14528-W,1
FREP-14536-O,1
FREP-14549-O,1
FREP-14554-O,1
FREP-14566-W,1
FREP-14572-W,1
FREP-14585-W,1
FREP-14589-W,1
FREP-14592-W,1
FREP-14593-W,1
FREP-14599-W,1
FREP-14604-W,1
FREP-14608-W,1
FREP-14610-W,1
FREP-14613-W,1
FREP-14618-W,1
FREP-14620-O,1
FREP-14621-O,1
FREP-14623-O,1
FREP-14623-W,1
FREP-14632-W,1
FREP-14636-W,1
FREP-14650-W,1
FREP-14654-O,1
FREP-14661-W,1
FREP-14664-W,1
FREP-14665-W,1
FREP-14669-W,1
FREP-14670-O,1
FREP-146799-G,1
FREP-14684-W,1
FREP-14688-W,1
FREP-14690-W,1
FREP-14697-W,1
FREP-14698-W,1
FREP-146988-J,1
FREP-14715-W,1
FREP-14718-W,1
FREP-14719-W,1
FREP-14727-W,1
FREP-147281-Z,1
FREP-14731-W,1
FREP-14746-W,1
FREP-14747-W,1
FREP-14748-W,1
FREP-14752-W,1
FREP-14753-W,1
FREP-14761-O,1
FREP-14764-W,1
FREP-14770-O,1
FREP-14773-W,1
FREP-14777-W,1
FREP-14782-W,1
FREP-14783-O,1
FREP-14784-W,1
FREP-14786-W,1
FREP-14793-W,1
FREP-14795-W,1
FREP-14796-W,1
FREP-14800-V,1
FREP-14804-W,1
FREP-14808-O,1
FREP-14809-W,1
FREP-14810-W,1
FREP-14819-O,1
