[2026-09-09T23:16:37.148263+01:00] Protocol frozen before candidate performance
[2026-09-09T23:17:56.439195+01:00] Fit 220/240 A05_max_rolling3h_mean wthr_gt0 fold_2
[2026-09-09T23:17:56.617941+01:00] Fit 221/240 A05_max_rolling3h_mean wthr_gt0 fold_3
[2026-09-09T23:17:56.817080+01:00] Fit 222/240 A05_max_rolling3h_mean wthr_gt0 fold_4
[2026-09-09T23:17:57.099910+01:00] Fit 223/240 A05_max_rolling3h_mean wthr_gt5 full
[2026-09-09T23:17:57.367406+01:00] Fit 224/240 A05_max_rolling3h_mean wthr_gt5 fold_0
[2026-09-09T23:17:57.589650+01:00] Fit 225/240 A05_max_rolling3h_mean wthr_gt5 fold_1
[2026-09-09T23:17:57.727288+01:00] Fit 226/240 A05_max_rolling3h_mean wthr_gt5 fold_2
[2026-09-09T23:17:57.861523+01:00] Fit 227/240 A05_max_rolling3h_mean wthr_gt5 fold_3
[2026-09-09T23:17:58.012931+01:00] Fit 228/240 A05_max_rolling3h_mean wthr_gt5 fold_4
[2026-09-09T23:17:58.194663+01:00] Fit 229/240 A05_max_rolling3h_mean wthr_gt100 full
[2026-09-09T23:17:58.449618+01:00] Fit 230/240 A05_max_rolling3h_mean wthr_gt100 fold_0
[2026-09-09T23:17:58.707834+01:00] Fit 231/240 A05_max_rolling3h_mean wthr_gt100 fold_1
[2026-09-09T23:17:58.881930+01:00] Fit 232/240 A05_max_rolling3h_mean wthr_gt100 fold_2
[2026-09-09T23:17:59.080371+01:00] Fit 233/240 A05_max_rolling3h_mean wthr_gt100 fold_3
[2026-09-09T23:17:59.316399+01:00] Fit 234/240 A05_max_rolling3h_mean wthr_gt100 fold_4
[2026-09-09T23:17:59.565959+01:00] Fit 235/240 A05_max_rolling3h_mean wthr_gt1000 full
[2026-09-09T23:17:59.773632+01:00] Fit 236/240 A05_max_rolling3h_mean wthr_gt1000 fold_0
[2026-09-09T23:18:00.003594+01:00] Fit 237/240 A05_max_rolling3h_mean wthr_gt1000 fold_1
[2026-09-09T23:18:00.284389+01:00] Fit 238/240 A05_max_rolling3h_mean wthr_gt1000 fold_2
[2026-09-09T23:18:00.488256+01:00] Fit 239/240 A05_max_rolling3h_mean wthr_gt1000 fold_3
[2026-09-09T23:18:00.724090+01:00] Fit 240/240 A05_max_rolling3h_mean wthr_gt1000 fold_4
[2026-09-09T23:18:42.775060+01:00] Metrics, paired uncertainty, calibration bins and separate repair comparisons saved
[2026-09-09T23:19:01.346248+01:00] Targeted saved-output validation passed
[2026-09-09T23:19:01.606301+01:00] All fixed analyses and report completed
