Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-21961-U,1,1,1,1,1,1
FREP-21962-U,1,1,1,1,1,1
FREP-21973-U,1,1,1,1,1,1
FREP-22016-U,1,1,1,1,1,1
FREP-22030-U,1,1,1,1,1,1
FREP-22320-U,1,1,1,1,1,1
FREP-22323-U,1,1,1,1,1,1
FREP-22330-U,1,1,1,1,1,1
FREP-22391-U,1,1,1,1,1,1
FREP-22394-U,1,1,1,1,1,1
FREP-22399-U,1,1,1,1,1,1
FREP-22401-U,1,1,1,1,1,1
FREP-22409-U,1,1,1,1,1,1
FREP-22415-U,1,1,1,1,1,1
FREP-22420-U,1,1,1,1,1,1
FREP-22421-U,1,1,1,1,1,1
FREP-225212-Z,1,1,1,1,1,1
FREP-226264-Z,1,1,1,1,1,1
FREP-22674-U,1,1,1,1,1,1
FREP-22676-U,1,1,1,1,1,1
FREP-22678-U,1,1,1,1,1,1
FREP-22679-U,1,1,1,1,1,1
FREP-22685-U,1,1,1,1,1,1
FREP-22688-U,1,1,1,1,1,1
FREP-22693-U,1,1,1,1,1,1
FREP-22707-U,1,1,1,1,1,1
FREP-22709-U,1,1,1,1,1,1
FREP-22711-U,1,1,1,1,1,1
FREP-22734-U,1,1,1,1,1,1
FREP-227489-Z,1,1,1,1,1,1
FREP-22821-U,1,1,1,1,1,1
FREP-22848-U,1,1,1,1,1,1
FREP-22855-U,1,1,1,1,1,1
FREP-228636-Z,1,1,1,1,1,1
FREP-228639-Z,1,1,1,1,1,1
FREP-228640-Z,1,1,1,1,1,1
FREP-22869-U,1,1,1,1,1,1
FREP-228738-Z,1,1,1,1,1,1
FREP-228772-Z,1,1,1,1,1,1
FREP-228831-Z,1,1,1,1,1,1
FREP-228839-Z,1,1,1,1,1,1
FREP-228844-Z,1,1,1,1,1,1
FREP-228851-Z,1,1,1,1,1,1
FREP-228852-Z,1,1,1,1,1,1
FREP-228860-Z,1,1,1,1,1,1
FREP-228865-Z,1,1,1,1,1,1
