storm,eta_pred,observed
Eunice,4.3105500926305185,1370.0
Eunice,4.1478852032594125,1.0
Eunice,4.752497921750801,2313.0
Eunice,4.436722175195915,110.0
Eunice,3.9280351469545343,32.0
Eunice,3.9759512240262187,1698.0
Eunice,4.7013257252201885,126.0
Eunice,3.2482004638656528,165.0
Eunice,4.72925659761239,130.0
Eunice,3.978032294097432,341.0
Eunice,2.009257188895046,23.0
Eunice,3.0534760589827967,982.0
Eunice,3.645512975896485,162.0
Eunice,2.387212741318693,59.0
Eunice,2.5643440259692794,128.0
Eunice,4.48211569101083,322.0
Eunice,3.3746997962715444,1.0
Eunice,3.3746997962715444,36.0
Eunice,4.105285049240546,18.0
Eunice,2.18118044750955,8.0
Eunice,3.8655247497232046,532.0
Eunice,4.0890103608769,9.0
Eunice,2.397116221137403,2.0
Eunice,3.799597627080511,1.0
Eunice,2.5746670113547707,1.0
Eunice,2.1497134997090486,16.0
Eunice,2.164132719447489,14.0
Eunice,2.3615888240394107,1.0
Eunice,2.7026435403845097,9.0
Eunice,2.2323234766223137,1.0
Eunice,3.457181250195693,855.0
Eunice,2.0615072381638866,4.0
Eunice,2.430527914507451,3817.0
Eunice,2.263975886144832,13.0
Eunice,3.5611773916904768,198.0
Eunice,2.0815924545029434,1.0
Eunice,2.186614239938751,194.0
Eunice,1.982059552037471,4.0
Eunice,3.2338422698330342,1059.0
Eunice,3.3252791127324213,1299.0
Eunice,3.0534760589827967,343.0
Eunice,3.305588902552925,3029.0
Eunice,3.241005268318474,488.0
Eunice,2.863767665305773,514.0
Eunice,3.1159480061017977,767.0
Eunice,2.6529019203264674,853.0
Eunice,3.3180095663341485,315.0
Eunice,2.4959374764141686,1196.0
Eunice,3.2482004638656528,1630.0
Eunice,1.9588582923351965,122.0
Eunice,4.322848590576486,34.0
Eunice,3.1111153212889233,25.0
Eunice,2.1477900526891056,311.0
Eunice,3.1530512000228987,13.0
Eunice,4.160503488129697,1130.0
Eunice,4.2025460615269425,36.0
Eunice,4.321852143092738,14.0
Eunice,2.4222226468616275,6.0
Eunice,4.815840241455233,2.0
Eunice,2.9532282637283074,64.0
Eunice,2.180402664554045,1.0
Eunice,4.4887393561213855,5.0
Eunice,2.551781239606204,20.0
Eunice,2.8877232745002743,55.0
Eunice,3.538271563635894,3.0
Eunice,2.6678419707158345,543.0
Eunice,2.308424774741296,251.0
Eunice,2.570510512108807,348.0
Eunice,2.3668523250995244,101.0
Eunice,2.4411764234038493,8.0
Eunice,2.009039948347156,0.0
Eunice,3.256045619867631,234.0
Eunice,2.539844410255044,558.0
Eunice,3.0498434468983016,782.0
Eunice,4.507918191212235,1.0
Eunice,2.7022390514829295,107.0
Eunice,2.1998645477127576,7.0
Eunice,2.924363869344097,245.0
Eunice,2.0805104246103316,99.0
Eunice,2.382118209673553,94.0
Eunice,2.2370382898013075,40.0
Eunice,2.2594724871004117,403.0
Eunice,2.6958279012314166,242.0
Eunice,3.0581279426298713,486.0
Eunice,2.430985009414767,615.0
Eunice,2.840656433266711,190.0
Eunice,2.77725575526529,64.0
Eunice,2.2188092620106885,28.0
Eunice,2.7414078412097127,513.0
Eunice,2.8702638532634266,87.0
Eunice,1.9914801306429533,1.0
Eunice,4.033754630457273,895.0
Eunice,4.407820943933285,509.0
Eunice,4.420644349673201,5663.0
Eunice,2.6394601603639636,4.0
Eunice,3.4621916593943167,0.0
Eunice,4.274645876269378,216.0
Eunice,4.572261782103677,2399.0
Eunice,3.730900973750653,193.0
Eunice,4.237482274477893,696.0
Eunice,4.875855703368276,249.0
Eunice,4.2522836698817095,302.0
Eunice,4.250316508290917,206.0
Eunice,4.328207754118406,545.0
Eunice,3.62104384052292,8.0
Eunice,3.0946269848524133,3.0
Eunice,4.22676377314315,373.0
Eunice,3.9980095934849467,695.0
Eunice,3.8786632149336344,344.0
Eunice,5.15378927414304,663.0
Eunice,3.5619121878796007,52.0
Eunice,3.153051200022898,194.0
Eunice,4.09526391892555,1215.0
Eunice,3.837642478805155,562.0
Eunice,3.5854641292195004,751.0
Eunice,3.028221184433866,7.0
Eunice,3.1926199293507804,95.0
Eunice,4.23512267853284,1350.0
Eunice,3.395923485840084,5.0
Eunice,3.6158786372374814,561.0
Eunice,3.6728127844148557,312.0
Eunice,3.7305960314568503,796.0
Eunice,3.732132156830135,1481.0
Eunice,2.714245921378181,2.0
Eunice,2.3743313904564225,386.0
Eunice,2.920396348968523,2.0
Eunice,5.225576637505379,24.0
Eunice,2.5876844893023754,1.0
Eunice,3.47535921319547,1000.0
Eunice,3.028221184433866,1707.0
Eunice,3.887420524626116,1360.0
Eunice,3.311515976816224,5.0
Eunice,3.3192977778844805,4.0
Eunice,2.691086097102822,9.0
Eunice,3.7267032813983465,66.0
Eunice,2.5108361544614692,1.0
Eunice,2.4709160966586516,934.0
Eunice,2.7211538503222514,3.0
Eunice,3.7693175776287853,3.0
Eunice,2.5223260609495246,293.0
Eunice,2.672069737281532,871.0
Eunice,2.4854314372475677,92.0
Eunice,2.3047308060927194,1025.0
Eunice,2.328105036755626,46.0
Eunice,2.0272826511789828,26.0
Eunice,2.2722929686191136,322.0
Eunice,1.7397631440178605,1116.0
Eunice,2.0621585086842793,2.0
Eunice,2.1090948712277333,50.0
Eunice,3.5642586288026226,444.0
Eunice,1.919571562227991,187.0
Eunice,2.1615402658791916,2.0
Eunice,3.100457607102473,263.0
Eunice,3.315742273831877,604.0
Eunice,3.315742273831877,110.0
Eunice,3.036027899142813,156.0
Eunice,2.799321414110674,2038.0
Eunice,2.775662597559285,1.0
Eunice,3.196651969620884,2134.0
Eunice,3.180204829960579,355.0
Eunice,2.9408478363876225,259.0
Eunice,3.1816325600281723,403.0
Eunice,3.1966519696208833,536.0
Eunice,3.4843904650103372,1373.0
Eunice,3.4011924562316156,497.0
Eunice,3.100457607102473,95.0
Eunice,3.4621916593943167,2055.0
Eunice,3.7321530854371088,118.0
Eunice,3.212344228790132,375.0
Eunice,3.1978548958521826,654.0
Eunice,4.321383464862305,1427.0
Eunice,3.3180095663341485,526.0
Eunice,3.305588902552925,133.0
Eunice,3.237079736121777,340.0
Eunice,3.8293280754659906,314.0
Eunice,3.4505605871761458,1.0
Eunice,3.340213667810303,212.0
Eunice,2.847484151753562,51.0
Eunice,2.661625704193558,357.0
Eunice,3.340213667810303,113.0
Eunice,2.7187950656727056,54.0
Eunice,4.83685084841322,1196.0
Eunice,1.7970693274951872,10.0
Eunice,1.8050542306434545,8.0
Eunice,4.632630346657634,1.0
Eunice,1.9959235256360024,57.0
Eunice,2.1497610184819878,27.0
Eunice,1.8431951145630625,20.0
Eunice,1.7079594736431403,0.0
