storm,eta_pred,observed,in_training_range
Dudley,1.7483219011955773,1.0,True
Dudley,2.2156659387736455,17.2,True
Dudley,2.8936363043733553,3.7666666666666666,True
Dudley,2.498352488933889,4.833333333333333,True
Dudley,2.4350948985770415,4.616666666666666,True
Dudley,2.3961231506603746,2.6166666666666667,True
Dudley,2.2212804480542103,8.483333333333333,True
Dudley,2.068394414812722,9.116666666666667,True
Dudley,2.7312984260038706,4.05,True
Dudley,2.0758376500147193,12.25,True
Dudley,2.2024126425090507,177.56666666666666,True
Dudley,2.169609008721627,2.4166666666666665,True
Dudley,2.975964182920775,3.95,True
Dudley,2.679707130372836,5.65,True
Dudley,0.7693454991263315,2.4833333333333334,True
Dudley,1.9723176942713951,1.0,True
Dudley,2.076156534587277,5.833333333333333,True
Dudley,2.311888219489054,26.666666666666668,True
Dudley,2.4587247568157347,10.333333333333334,True
Dudley,2.3666069848308005,5.8,True
Dudley,2.588060411203518,8.633333333333333,True
Dudley,2.3742381748906416,0.3333333333333333,True
Dudley,2.234288129781696,8.266666666666667,True
Dudley,2.582548601146235,23.683333333333334,True
Dudley,2.0372100957055945,222.3,False
Dudley,2.057561513898952,6.516666666666667,True
Dudley,2.3158711046040548,1.0166666666666666,True
Dudley,2.3121420520415987,10.2,True
Dudley,1.9456767091367067,497.25,False
Dudley,1.9726370195103524,3.933333333333333,True
Dudley,1.7989598992917653,1.6166666666666667,True
Dudley,2.3851949992721493,1.0333333333333334,True
