Incident Reference,new_source_row,new_start_utc,new_stage,old_source_row,old_start_utc,old_stage,representative_row_changed,time_diff_hours_old_minus_new,new_gust_0h,old_gust_0h,gust_0h_diff,lat,lon,weather_status_v3,cause_group_official,cache_status,lat_r,lon_r,recomputed_gust_0h,recomputed_pressure_msl_0h,recomputed_temperature_0h,recomputed_precip_24h_sum
FREP-21107-U,157605,2022-12-10 10:18:00+00:00,1,98583,2022-12-10 11:50:00+00:00,2,True,1.5333333333333334,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-299944-Z,187722,2022-04-14 14:05:00+00:00,1,32253,2022-04-14 14:56:00+00:00,3,True,0.85,,,,51.7640284851224,-0.437099345235418,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.8,-0.4,,,,
FREP-234941-Z,157891,2021-05-05 03:48:00+00:00,3,56194,2021-05-05 03:49:00+00:00,1,True,0.0166666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-288750-G,92775,2022-08-22 22:43:00+00:00,1,33139,2022-08-23 08:55:00+00:00,2,True,10.2,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-53643-C,159522,2021-10-05 09:36:00+00:00,3,12015,2021-10-05 09:57:00+00:00,1,True,0.35,,,,52.6993533815159,1.08755590682345,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,52.7,1.1,,,,
FREP-300924-G,211753,2022-12-07 15:47:00+00:00,1,32312,2022-12-07 17:10:00+00:00,2,True,1.3833333333333333,,,,,,invalid_time_or_coordinate,third_party,no_coordinates,,,,,,
FREP-282161-G,170799,2022-06-17 22:44:00+00:00,5,6034,2022-06-18 01:15:00+00:00,2,True,2.5166666666666666,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-46511-C,156401,2021-04-20 19:11:00+00:00,1,41332,2021-04-20 22:12:00+00:00,5,True,3.0166666666666666,,,,51.6969245927576,0.255430767380644,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.7,0.3,,,,
FREP-298527-Z,81787,2022-04-07 08:43:00+00:00,2,32087,2022-04-07 19:20:00+00:00,1,True,10.616666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-286794-Z,102902,2022-02-18 14:40:00+00:00,4,11006,2022-02-19 10:47:00+00:00,6,True,20.116666666666667,,,,,,invalid_time_or_coordinate,weather_natural,no_coordinates,,,,,,
FREP-289869-G,79381,2022-09-02 13:14:00+00:00,1,79380,2022-09-02 15:31:00+00:00,2,True,2.283333333333333,,,,50.989661506499,-0.240669166666228,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.0,-0.2,,,,
FREP-288475-G,79191,2022-08-19 08:50:00+00:00,1,23461,2022-08-19 09:20:00+00:00,2,True,0.5,,,,50.9490589725163,0.453212451572045,weather_request_unavailable,external_or_customer,not_found_needs_new_request,50.9,0.5,,,,
FREP-352765-Z,19231,2023-01-14 18:36:00+00:00,3,19229,2023-01-15 13:01:00+00:00,8,True,18.416666666666668,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
