task,model,episode,n,mse,rmse,mae,r2
E_log,P02,P1,270,3.8743821041795914,1.9683450165506025,1.714327800683619,0.02368266232821359
E_log,P02,P2,2603,5.307889473048421,2.303885733505119,1.9176777269383078,-0.010213988867148638
E_log,P02,P3,509,3.8767703876120296,1.9689515960561421,1.7087572944817324,0.012876399602125055
E_log,P02,P4,576,4.597509838616008,2.1441804585006383,1.9161606103303876,0.042465305678912046
E_log,P02,P5,494,4.287334401362917,2.0705879361579687,1.7959038337773061,0.10284844333315513
E_log,S01,P1,270,3.904302317819337,1.9759307472225176,1.6959369872234162,0.016142976634380024
E_log,S01,P2,2603,4.995020471701796,2.2349542437602152,1.9671894032933954,0.04933220994654586
E_log,S01,P3,509,4.247312948702836,2.060901004100594,1.5523222971672443,-0.08147308990424484
E_log,S01,P4,576,4.91002484994855,2.2158575879213336,1.9504076986999317,-0.02262296522235041
E_log,S01,P5,494,4.843701414837656,2.2008410698725287,1.838853497603439,-0.013574836376089916
E_log,S02,P1,270,3.888083287196204,1.9718223264777697,1.6919045133260162,0.020230059521871402
E_log,S02,P2,2603,5.135147203982771,2.266086318740478,1.9748010502882871,0.022662855604624443
E_log,S02,P3,509,4.191879942895532,2.0474081036509384,1.5521243246413292,-0.06735844735326113
E_log,S02,P4,576,4.849162401688537,2.202081379442762,1.9398442632258062,-0.00994699326449
E_log,S02,P5,494,4.798548914665376,2.1905590415839917,1.8357312590688901,-0.004126393118647265
E_log,S03,P1,270,3.8588844322456572,1.964404345404901,1.677912736926961,0.02758796784424078
E_log,S03,P2,2603,5.165471894064512,2.2727674527026545,1.9709918130000545,0.016891366525172535
E_log,S03,P3,509,4.073981007806036,2.0184105151841725,1.5342374495475473,-0.03733840240540798
E_log,S03,P4,576,4.5735178416363516,2.138578462819719,1.8908194045512756,0.047462177964232244
E_log,S03,P5,494,4.57496816412441,2.13891752158058,1.8029164222831724,0.04265927825907512
E_log,S04,P1,270,3.8588066877385767,1.9643845569894345,1.682897046595007,0.027607558919186204
E_log,S04,P2,2603,5.345115053470752,2.31195048681211,1.991868826261431,-0.01729887680185138
E_log,S04,P3,509,4.073249803365315,2.0182293733283427,1.5499012147104687,-0.037152219297309275
E_log,S04,P4,576,4.708648896800938,2.16994214134869,1.9153855592118265,0.019318100378253766
E_log,S04,P5,494,4.701285187091812,2.168244724908102,1.8230558994723196,0.016226650621562477
E_log,S05,P1,270,3.980211375571677,1.9950467101227674,1.6790570937770553,-0.002985577849182519
E_log,S05,P2,2603,5.038519799027663,2.244664740897327,1.9225202217991546,0.04105328304084577
E_log,S05,P3,509,3.907656747190467,1.976779387587413,1.6249054253556574,0.005011952801851405
E_log,S05,P4,576,4.5387654034009834,2.1304378431207476,1.8712083008441012,0.05470015384480864
E_log,S05,P5,494,4.429018523467981,2.104523348282927,1.7431452131854468,0.0732001540228735
R_C_log,B00,P1,270,1.7455025501506016,1.321174685706096,1.0421166435135258,-0.49588309702011757
R_C_log,B00,P2,2603,4.558194116758813,2.134992767378572,1.865711492483918,-0.4844087774130612
R_C_log,B00,P3,509,1.9062553777095959,1.380672074646835,1.066670851765756,-0.3782963433661828
R_C_log,B00,P4,576,2.6685157369556047,1.6335592235837686,1.2679108765204194,-0.5289706400403817
R_C_log,B00,P5,494,2.4785141694451442,1.574329752448687,1.16133094581739,-0.26406193558355606
R_C_log,B01,P1,270,1.8275148752543735,1.351856085259956,1.0695613039959102,-0.5661670681661155
R_C_log,B01,P2,2603,4.376838085692828,2.092089406715886,1.8251738034465868,-0.42534887837072577
R_C_log,B01,P3,509,1.5841230007465057,1.2586194821098653,1.0053281861326953,-0.14538217958737598
R_C_log,B01,P4,576,2.3511761528504658,1.5333545424494839,1.2086343299773148,-0.3471456276187086
R_C_log,B01,P5,494,2.3757447827202993,1.5413451212237639,1.2677550478136406,-0.21164873113081528
R_C_log,G02,P1,270,1.155758146085754,1.0750619266283008,0.8224861722551389,0.009523604062440572
R_C_log,G02,P2,2603,4.578312500058822,2.139699161110931,1.8575210677241163,-0.4909604739825628
R_C_log,G02,P3,509,1.3373615302634894,1.156443483384938,0.8852049592184528,0.03303590459348171
R_C_log,G02,P4,576,1.706618820367264,1.3063762170091984,1.0170201905559546,0.022164256352179
R_C_log,G02,P5,494,2.0532636941512763,1.4329213844978643,1.074857609087606,-0.047180811588153126
R_C_log,G05,P1,270,1.019657814050905,1.0097810723374177,0.7608945924457059,0.1261606070689334
R_C_log,G05,P2,2603,4.495158346288806,2.1201788477128067,1.8344011548705708,-0.46388072428942406
R_C_log,G05,P3,509,1.1612623764186218,1.0776188456122238,0.760605467441793,0.16036240168952587
R_C_log,G05,P4,576,1.3331012533559343,1.1546000404278247,0.8638848884242256,0.23617738192256799
R_C_log,G05,P5,494,1.8085998346002692,1.344841936660316,0.9793349962085797,0.07759970235202907
R_C_log,P00,P1,270,1.5928774643425254,1.2620924943689846,0.994995284317364,-0.3650844992054951
R_C_log,P00,P2,2603,4.715596427957167,2.171542407588939,1.886830800223272,-0.5356679748809563
R_C_log,P00,P3,509,1.5208197097997063,1.2332151920081533,0.9271998985594303,-0.0996114526138201
R_C_log,P00,P4,576,2.243218464459245,1.4977377822767393,1.1920784494030296,-0.28528946779515096
R_C_log,P00,P5,494,2.4082541290067714,1.5518550605667951,1.1621467470688132,-0.22822875625152395
R_C_log,P02,P1,270,1.547289166864533,1.243900786584096,0.9696697879991244,-0.32601565704690305
R_C_log,P02,P2,2603,4.688327842050469,2.1652546829531323,1.8774957704123245,-0.5267877632816471
R_C_log,P02,P3,509,1.4702592077616734,1.2125424560656313,0.9318580008751455,-0.06305425472068671
R_C_log,P02,P4,576,2.2813703244352563,1.510420578658559,1.2039449701527756,-0.30714921288055996
R_C_log,P02,P5,494,2.479633235530903,1.574685122661322,1.1826531817964612,-0.2646326681861155
R_C_log,S01,P1,270,1.815310485248784,1.3473345854867618,1.0634344533489448,-0.5557079939486491
R_C_log,S01,P2,2603,4.533216170515983,2.129135075685895,1.8585779758571586,-0.47627452913515445
R_C_log,S01,P3,509,1.814570364799911,1.3470598965153373,1.078377985967193,-0.31200453403540274
R_C_log,S01,P4,576,2.2758771150118378,1.5086010456750445,1.1803775197294124,-0.3040017868370539
R_C_log,S01,P5,494,2.3852141202334463,1.5444138435773769,1.260331354329415,-0.21647816856277524
R_C_log,S02,P1,270,1.78856984417083,1.3373742348986801,1.0517374802923605,-0.5327914573967305
R_C_log,S02,P2,2603,4.34841578088712,2.0852855394135164,1.8195366411269114,-0.4160929498939663
